xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.32,277,31.41,0.56,0.07,9.18,SFG,44.77,42.48,Sweeper,ST,27.94,0.3,2599.7,78.6,83.54,57.26
0.41,198,17.68,0.01,0.73,6.56,SFG,46.46,17.92,Cutter,FC,7.69,0.23,2342.39,82.66,90.46,78.26
0.41,193,32.12,0.17,-0.6,6.4,SFG,44.04,33.33,Curveball,CU,27.27,0.23,2448.54,86.22,81.92,48.24
0.15,64,25,-0.56,0.14,2.12,SFG,42.19,27.03,Split-Finger,FS,34.62,0.17,1019.12,75.3,88.03,59.26
0.01,22,27.27,-0.86,-0.16,0.73,SFG,45.45,0,Slurve,SV,0,0,2282.27,73.85,79.63,40
0,14,0,0.78,-0.14,0.46,SFG,0,0,Unknown,UNK,0,0,2024,0,85.1,0
0,8,0,-0.79,-0.69,0.27,SFG,0,25,Slow Curve,CS,0,0,2363.5,87.8,80.3,0
0,4,0,-0.6,1.4,0.13,SFG,0,0,Pitch Out,PO,0,0,2354.5,0,91.35,0
0.33,676,26.92,0.04,1.25,26.93,STL,48.96,32.17,4-Seam Fastball,FF,15.51,0.24,2402.72,84.78,95.52,61.93
0.37,621,28.99,-0.16,0.68,24.74,STL,57.81,25.19,Sinker,SI,12.85,0.31,2238.53,83.59,95.01,61.84
0.3,369,24.93,0.16,0.01,14.7,STL,48.24,29.84,Slider,SL,26.42,0.29,2530.38,86.68,87.19,76.4
0.19,236,25.42,0.34,0.1,9.4,STL,38.98,27.08,Sweeper,ST,32.35,0.1,2571.9,77.8,83.05,68.48
0.27,229,31,0.46,0.23,9.12,STL,38.86,35,Changeup,CH,43.97,0.22,1805.57,83.14,87.7,75.28
0.24,226,34.51,0.27,-0.72,9,STL,47.35,40.34,Curveball,CU,24,0.22,2625.43,84.68,83.34,48.6
0.41,95,26.32,-0.04,0.67,3.78,STL,46.32,27.45,Cutter,FC,16.67,0.29,2410.74,80.86,90.89,63.64
0.43,36,19.44,-0.87,-0.05,1.43,STL,36.11,47.83,Split-Finger,FS,22.73,0.1,1684.78,88.83,88.35,84.62
0.31,16,25,0.09,1.48,0.64,STL,25,66.67,Eephus,EP,16.67,0.25,1160.88,87.08,47.74,100
0,4,0,0,0,0.16,STL,0,0,Unknown,UNK,0,0,0,0,0,0
0,2,50,0.28,-0.63,0.08,STL,50,0,Knuckle Curve,KC,100,0,2531.5,0,88.1,100
0.29,773,24.06,-0.14,1.37,29.5,TBR,51.36,31.12,4-Seam Fastball,FF,14.36,0.21,2330.92,82.86,94.79,68.77
0.31,503,25.84,0.12,0.71,19.2,TBR,57.65,30.05,Sinker,SI,8.84,0.3,2172.46,85.27,94.52,63.79
0.35,315,19.68,0.12,0.34,12.02,TBR,39.05,32.29,Changeup,CH,23.27,0.32,1549.75,79.11,87.7,78.86
0.26,312,32.69,0.27,0.13,11.91,TBR,46.47,34.73,Slider,SL,35.71,0.2,2438.57,80.61,86.7,66.21
0.32,226,19.03,0.15,0.74,8.63,TBR,47.35,24.37,Cutter,FC,17.09,0.33,2394.72,83.62,90.18,82.24
0.27,144,29.86,0.28,-0.78,5.5,TBR,36.81,24.18,Knuckle Curve,KC,23.26,0.37,2457.06,86.07,82.88,39.62
0.2,128,23.44,0.14,-0.9,4.89,TBR,30.47,35.96,Curveball,CU,20.75,0.08,2610.26,81.08,80.66,53.85
0.36,115,24.35,0.12,0.06,4.39,TBR,34.78,41.33,Sweeper,ST,19.64,0.2,2469.23,79.84,80.56,62.5
0.23,73,16.44,-0.28,0.4,2.79,TBR,26.03,22.22,Split-Finger,FS,25,0.23,1166.93,84.12,85.45,84.21
0,20,0,0,0,0.76,TBR,0,0,Unknown,UNK,0,0,0,0,0,0
0.12,8,25,-1.08,0.09,0.31,TBR,50,50,Forkball,FO,0,0,1098.25,71.4,83.22,50
0,3,0,1.67,-0.51,0.11,TBR,0,0,Slurve,SV,0,0,2540.33,0,80.97,0
0.39,985,21.62,-0.06,1.32,32.5,TEX,54.11,26.11,4-Seam Fastball,FF,17.14,0.25,2331,83.62,94.25,77.49
0.34,510,21.18,-0.44,0.7,16.83,TEX,54.71,18.61,Sinker,SI,10.88,0.29,2273.37,83.46,94.64,70.25
0.34,367,31.06,-0.17,0.03,12.11,TEX,38.69,42.67,Slider,SL,38.81,0.28,2482.09,84.9,85.39,73.94
0.38,337,26.41,0.18,0.69,11.12,TEX,48.37,32.18,Cutter,FC,20.25,0.19,2404.06,84.99,90.4,65.64
0.37,240,12.92,-0.27,0.4,7.92,TEX,27.92,27.75,Changeup,CH,19.05,0.34,1976.48,83.5,85.51,85.07
0.28,227,37.89,-0.18,-0.97,7.49,TEX,38.77,34.53,Curveball,CU,43.16,0.11,2683.67,81.33,79.71,53.41
0.17,222,26.58,0.37,0.18,7.32,TEX,40.99,41.22,Sweeper,ST,30.51,0.3,2637.11,76.9,82.31,70.33
0.36,79,25.32,-0.25,0.61,2.61,TEX,35.44,31.37,Split-Finger,FS,35.14,0.26,1442.7,83.14,86.81,75
0.08,32,18.75,0.43,-1.06,1.06,TEX,56.25,14.29,Knuckle Curve,KC,12.5,0,2485.25,81.6,79.32,77.78
0,18,0,0,0,0.59,TEX,0,0,Unknown,UNK,0,0,0,0,0,0
0.42,14,14.29,-1.07,-0.21,0.46,TEX,28.57,0,Slurve,SV,0,1,2713,97.7,84.34,50
0.29,718,23.54,-0.17,1.31,30.46,TOR,54.87,27.47,4-Seam Fastball,FF,16.21,0.28,2316.46,82.77,94.9,69.8
0.36,539,23.56,-0.62,0.55,22.87,TOR,57.33,20,Sinker,SI,6.85,0.2,2152.42,83.61,94.21,65.37
0.29,279,23.66,-0.13,0,11.84,TOR,45.88,33.11,Slider,SL,21.17,0.25,2377.58,81.35,86.74,67.97
0.35,223,17.94,0.43,0.38,9.46,TOR,34.53,28.77,Changeup,CH,25.71,0.27,1685.83,79.95,84.11,81.82
0.26,202,32.67,0.77,0.09,8.57,TOR,44.55,32.14,Sweeper,ST,35.16,0.28,2533.08,78.5,83.41,61.11
0.22,168,34.52,0.53,-1.1,7.13,TOR,41.67,37.76,Curveball,CU,36.23,0.19,2640.35,77.61,82.14,45.71
0.22,159,33.96,0.13,0.71,6.75,TOR,51.57,28.57,Cutter,FC,25,0.16,2382.82,83.73,90.39,60.98
0.06,63,25.4,-0.26,0.07,2.67,TOR,28.57,46.67,Split-Finger,FS,30.56,0,857.05,68.61,83.89,83.33
0,6,0,0,0,0.25,TOR,0,0,Unknown,UNK,0,0,0,0,0,0
0.37,1026,24.37,-0.56,1.28,32.75,WSN,51.85,29.35,4-Seam Fastball,FF,19.89,0.31,2328.1,83.9,95.13,76.69
0.29,444,30.63,0.2,0.17,14.17,WSN,50.45,28.18,Slider,SL,25,0.21,2382.32,81.79,86.96,66.96
0.29,410,25.85,-0.89,0.7,13.09,WSN,47.8,24.3,Sinker,SI,19.67,0.24,2247.02,82.45,94.42,66.84
0.22,353,21.25,-0.67,0.39,11.27,WSN,35.41,39.47,Changeup,CH,25.77,0.14,1619.7,80.49,85.59,83.2
0.3,309,26.21,0.98,0.04,9.86,WSN,49.19,27.39,Sweeper,ST,22.22,0.25,2648.27,84.78,82.95,66.45
0.27,232,29.74,0.42,-0.79,7.41,WSN,34.05,33.99,Curveball,CU,31.25,0.21,2493.52,83.25,80.57,55.7
0.2,185,29.19,-0.7,0.06,5.9,WSN,35.14,41.67,Split-Finger,FS,34.62,0.3,1023.89,79.99,82.24,83.08
0.29,149,21.48,0.21,0.57,4.76,WSN,51.68,29.17,Cutter,FC,20.88,0.3,2345.12,80.49,89.5,90.91
0,15,0,0,0,0.48,WSN,0,0,Unknown,UNK,0,0,0,0,0,0
0.7,10,0,0.4,-0.9,0.32,WSN,40,0,Slurve,SV,0,0,2658.2,58.1,87.92,100
