team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
NYM,KC,Knuckle Curve,67,61,13,20,5,1,24,2,35.8209,7.46269,0.21311,0.28358,0.32787,0.11475,0.27672,2.98507,2026-05-06,2026-09-03
NYM,SI,Sinker,775,678,184,289,84,9,116,26,14.96774,10.83871,0.27139,0.35881,0.42625,0.15487,0.34956,3.35484,2026-05-06,2026-09-03
NYM,SL,Slider,499,451,101,171,39,6,148,16,29.65932,7.81563,0.22395,0.29259,0.37916,0.15521,0.29822,3.20641,2026-05-06,2026-09-03
NYM,ST,Sweeper,349,330,68,117,16,1,102,10,29.22636,4.58453,0.20606,0.24355,0.35455,0.14848,0.26221,2.86533,2026-05-06,2026-09-03
NYM,SV,Slurve,20,19,4,7,1,0,3,0,15.0,5.0,0.21053,0.25,0.36842,0.15789,0.268,0.0,2026-05-06,2026-09-03
NYY,CH,Changeup,415,393,89,144,20,0,112,12,26.98795,4.81928,0.22646,0.26265,0.36641,0.13995,0.27643,2.89157,2026-05-06,2026-09-03
NYY,CU,Curveball,277,261,51,90,10,5,90,10,32.49097,3.61011,0.1954,0.23827,0.34483,0.14943,0.25758,3.61011,2026-05-06,2026-09-03
NYY,EP,Eephus,16,14,5,11,2,0,0,2,0.0,12.5,0.35714,0.4375,0.78571,0.42857,0.51562,12.5,2026-05-06,2026-09-03
NYY,FC,Cutter,267,234,64,106,28,3,48,10,17.97753,10.48689,0.2735,0.35849,0.45299,0.17949,0.35887,3.74532,2026-05-06,2026-09-03
NYY,FF,4-Seam Fastball,1152,1009,235,411,126,4,291,41,25.26042,10.9375,0.2329,0.31822,0.40733,0.17443,0.32133,3.55903,2026-05-06,2026-09-03
NYY,FO,Forkball,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
NYY,FS,Splitter,156,146,20,36,7,0,46,4,29.48718,4.48718,0.13699,0.17419,0.24658,0.10959,0.18703,2.5641,2026-05-06,2026-09-03
NYY,KC,Knuckle Curve,41,37,3,6,4,0,20,1,48.78049,9.7561,0.08108,0.17073,0.16216,0.08108,0.16195,2.43902,2026-05-06,2026-09-03
NYY,SI,Sinker,693,607,164,277,72,9,110,30,15.87302,10.38961,0.27018,0.35405,0.45634,0.18616,0.35664,4.329,2026-05-06,2026-09-03
NYY,SL,Slider,511,460,112,183,43,1,154,14,30.13699,8.41487,0.24348,0.30648,0.39783,0.15435,0.31035,2.73973,2026-05-06,2026-09-03
NYY,ST,Sweeper,282,261,48,81,15,4,99,7,35.10638,5.31915,0.18391,0.23759,0.31034,0.12644,0.2445,2.48227,2026-05-06,2026-09-03
NYY,SV,Slurve,21,20,3,3,1,0,6,0,28.57143,4.7619,0.15,0.19048,0.15,0.0,0.16,0.0,2026-05-06,2026-09-03
PHI,CH,Changeup,364,341,79,136,18,4,97,15,26.64835,4.94505,0.23167,0.27747,0.39883,0.16716,0.29758,4.12088,2026-05-06,2026-09-03
PHI,CU,Curveball,264,245,58,86,13,3,66,4,25.0,4.92424,0.23673,0.2803,0.35102,0.11429,0.27894,1.51515,2026-05-06,2026-09-03
PHI,EP,Eephus,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
PHI,FA,Fastball,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
PHI,FC,Cutter,283,257,60,98,22,4,52,9,18.37456,7.77385,0.23346,0.30389,0.38132,0.14786,0.30576,3.18021,2026-05-06,2026-09-03
PHI,FF,4-Seam Fastball,1128,966,269,448,135,11,253,44,22.42908,11.96809,0.27847,0.36955,0.46377,0.1853,0.36639,3.90071,2026-05-06,2026-09-03
PHI,FO,Forkball,9,7,1,1,2,0,4,0,44.44444,22.22222,0.14286,0.33333,0.14286,0.0,0.25222,0.0,2026-05-06,2026-09-03
PHI,FS,Splitter,143,137,30,50,4,1,40,5,27.97203,2.7972,0.21898,0.24476,0.36496,0.14599,0.26664,3.4965,2026-05-06,2026-09-03
PHI,KC,Knuckle Curve,56,51,15,25,4,1,18,3,32.14286,7.14286,0.29412,0.35714,0.4902,0.19608,0.37214,5.35714,2026-05-06,2026-09-03
PHI,KN,Knuckleball,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
