K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.29,154,0.24,0.11,0.05,0.34,0.63,0.29,TBR,0.29,82,0.35,,,0.35,,,,,Jonathan Aranda,
0.16,154,0.22,0.05,0.12,0.28,0.63,0.35,CLE,0.28,73,0.25,,,0.29,,,,,Brayan Rocchio,
0.13,154,0.29,0.08,0.2,0.36,0.85,0.49,TBR,0.36,131,0.3,,,0.36,,,,,Yandy Díaz,
0.29,153,0.23,0.14,0.12,0.35,0.69,0.35,DET,0.32,99,0.33,,,0.36,,,,,Riley Greene,
0.14,153,0.26,0.11,0.1,0.35,0.71,0.36,COL,0.32,102,0.3,,,0.32,,,,,TJ Rumfield,
0.23,153,0.28,0.14,0.18,0.38,0.84,0.46,KCR,0.37,136,0.34,,,0.32,,,,,Lane Thomas,
0.17,153,0.28,0.11,0.08,0.37,0.74,0.36,MIN,0.33,109,0.34,,,0.31,,,,,Luke Keaschall,
0.2,152,0.31,0.12,0.28,0.41,0.99,0.58,NYY,0.42,172,0.34,,,0.3,,,,,Paul Goldschmidt,
0.2,152,0.31,0.12,0.19,0.39,0.9,0.5,CHW,0.39,149,0.38,,,0.29,,,,,Chase Meidroth,
0.19,152,0.29,0.12,0.26,0.38,0.93,0.55,STL,0.4,157,0.32,,,0.36,,,,,Jordan Walker,
0.15,151,0.29,0.17,0.22,0.42,0.92,0.51,TBR,0.4,153,0.3,,,0.36,,,,,Junior Caminero,
0.23,150,0.31,0.04,0.29,0.35,0.96,0.61,LAA,0.41,161,0.33,,,0.33,,,,,Jo Adell,
0.16,150,0.27,0.09,0.23,0.34,0.84,0.5,HOU,0.35,124,0.26,,,0.46,,,,,Yordan Alvarez,
0.13,150,0.22,0.15,0.04,0.35,0.61,0.26,CLE,0.29,80,0.26,,,0.32,,,,,Steven Kwan,
0.13,149,0.27,0.04,0.2,0.31,0.78,0.47,PHI,0.34,112,0.28,,,0.32,,,,,Alec Bohm,
0.18,149,0.26,0.11,0.15,0.34,0.74,0.4,LAD,0.33,108,0.3,,,0.33,,,,,Kyle Tucker,
0.13,148,0.26,0.03,0.11,0.3,0.67,0.37,SFG,0.29,85,0.29,,,0.31,,,,,Jung Hoo Lee,
0.16,148,0.27,0.08,0.18,0.32,0.77,0.45,NYM,0.34,113,0.29,,,0.32,,,,,Bo Bichette,
0.28,148,0.28,0.03,0.11,0.3,0.7,0.39,SDP,0.31,92,0.37,,,0.33,,,,,Jackson Merrill,
