bats,team,status,throws,position,full_name,player_id,team_abbr,jersey_number,position_type
R,Atlanta Braves,active,R,SS,Ha-Seong Kim,673490,ATL,7,SS
R,Baltimore Orioles,active,R,1B,Pete Alonso,624413,BAL,25,1B
L,Baltimore Orioles,active,R,2B,Jackson Holliday,702616,BAL,7,2B
R,Baltimore Orioles,active,R,3B,Blaze Alexander,677942,BAL,23,3B
R,Baltimore Orioles,active,R,3B,Christian Encarnacion-Strand,687952,BAL,32,3B
R,Baltimore Orioles,active,R,3B,Coby Mayo,691723,BAL,16,3B
R,Baltimore Orioles,active,R,C,Carlos Narváez,665966,BAL,75,C
L,Baltimore Orioles,active,R,C,Samuel Basallo,694212,BAL,29,C
R,Baltimore Orioles,active,R,C,Yohel Pozo,650968,BAL,79,C
L,Baltimore Orioles,active,R,CF,Colton Cowser,681297,BAL,17,OF
L,Baltimore Orioles,active,R,LF,Dylan Beavers,687637,BAL,12,OF
L,Baltimore Orioles,active,R,LF,Heston Kjerstad,677008,BAL,13,OF
S,Baltimore Orioles,active,R,CF,Leody Taveras,665750,BAL,30,OF
R,Baltimore Orioles,active,R,CF,Luis Robert Jr.,673357,BAL,88,OF
R,Baltimore Orioles,active,R,P,Albert Suárez,544150,BAL,49,RP
R,Baltimore Orioles,active,R,P,Alex Hoppe,695380,BAL,26,RP
R,Baltimore Orioles,active,R,P,Andrew Kittredge,552640,BAL,39,RP
R,Baltimore Orioles,active,R,P,Brandon Young,687064,BAL,63,RP
R,Baltimore Orioles,active,R,P,Cam Sanders,676742,BAL,73,RP
R,Baltimore Orioles,active,R,P,Chris Bassitt,605135,BAL,40,RP
L,Baltimore Orioles,active,L,P,Grant Wolfram,664991,BAL,48,RP
L,Baltimore Orioles,active,L,P,Josh Walker,677020,BAL,61,RP
R,Baltimore Orioles,active,R,P,Kyle Bradish,680694,BAL,38,RP
L,Baltimore Orioles,active,L,P,Luis De León,801725,BAL,81,RP
R,Baltimore Orioles,active,R,P,Rico Garcia,670329,BAL,50,RP
R,Baltimore Orioles,active,R,P,Shane Baz,669358,BAL,34,RP
L,Baltimore Orioles,active,L,P,Trevor Rogers,669432,BAL,28,RP
R,Baltimore Orioles,active,R,P,Yennier Cano,666974,BAL,78,RP
L,Baltimore Orioles,active,R,SS,Gunnar Henderson,683002,BAL,2,SS
R,Boston Red Sox,active,R,2B,Isiah Kiner-Falefa,643396,BOS,2,2B
