team,record_placeholder,osi,abq,rcv,obr,proj_osi,pals,oor,pp_gap,osi_vs_rhp,osi_vs_lhp,abq_vs_rhp,rcv_vs_rhp,obr_vs_rhp,abq_vs_lhp,rcv_vs_lhp,obr_vs_lhp,platoon_gap,platoon_sensitive,avg_pitching_score,avg_ip_per_start,team_k_pct,team_bb_pct,team_era,top_3_sp,bullpen_era,bullpen_osi_allowed,bullpen_high_lev_era,bullpen_ir_scored_pct,closer_name,primary_setup,top_batters,home_osi,away_osi,home_abq,home_rcv,home_obr,away_abq,away_rcv,away_obr,home_wrc,home_woba,home_slg,away_wrc,away_woba,away_slg,home_away_osi_gap,osi_ytd,osi_l30,osi_l14,osi_l7,abq_ytd,abq_l30,abq_l14,abq_l7,rcv_ytd,rcv_l30,rcv_l14,rcv_l7,obr_ytd,obr_l30,obr_l14,obr_l7,window_direction
NYM,--,44.05,36.82,52.54,41.14,42.13,45.5,37.77477559657083,-0.8,42.63576031944325,47.68871125005399,36.84313945518766,49.18878167274957,40.522254675459976,36.749017256533705,61.16920683810061,42.73058635646339,-5.1,False,64.4,5.13,20.1,11.7,6.29,"[{""name"": ""Nolan McLean"", ""pitch_score"": 53.1}, {""name"": ""Christian Scott"", ""pitch_score"": 52.3}, {""name"": ""Sean Manaea"", ""pitch_score"": 49.5}]",3.63,53.8,2.17,35.4,Kodai Senga,Nate Lavender,,,,,,,,,,,,,,,,,44.05,42.3,42.1,42.1,36.82,36.3,37.1,37.1,52.54,50.9,49.9,49.9,41.14,38.6,38.5,38.5,stable
NYY,--,66.09,39.51,75.11,74.82,64.29,85.6,74.9352115517363,-1.9,67.47013820278458,62.55007538152298,41.0350930728432,74.80954626830153,77.57005935167061,35.587897939960946,75.86910091530784,67.7472889404375,4.9,False,79.4,5.4,20.4,8.6,4.2,"[{""name"": ""Cam Schlittler"", ""pitch_score"": 55.7}, {""name"": ""Gerrit Cole"", ""pitch_score"": 52.6}, {""name"": ""Ryan Weathers"", ""pitch_score"": 52.4}]",2.53,48.8,2.52,18.3,David Bednar,Paul Blackburn;Brent Headrick,,,,,,,,,,,,,,,,,66.09,65.8,66.6,66.6,39.51,39.6,40.2,40.2,75.11,75.1,75.0,75.0,74.82,74.2,75.7,75.7,stable
PHI,--,32.81,36.39,33.28,30.17,28.74,39.0,17.31369997799736,-4.2,31.35521275319727,36.56479251806499,35.274135390909755,32.83373548015595,27.61217871853813,39.25770996749674,34.43444444235281,36.74577367841831,-5.2,False,70.6,4.91,22.3,9.9,5.98,"[{""name"": ""Zack Wheeler"", ""pitch_score"": 55.5}, {""name"": ""Tim Mayza"", ""pitch_score"": 51.8}, {""name"": ""Kyle Backhus"", ""pitch_score"": 49.8}]",3.45,52.1,3.14,33.3,Orion Kerkering,Brooks Raley;José Alvarado,,,,,,,,,,,,,,,,,32.81,31.9,32.1,32.1,36.39,33.3,34.9,34.9,33.28,36.1,34.3,34.3,30.17,27.2,28.3,28.3,stable
PIT,--,52.56,29.49,75.7,46.72,45.5,54.4,46.76241101897722,-8.0,57.08919920573925,40.90429590901945,32.320450896791016,82.15408780083423,50.63788937812379,22.19700280546373,59.114910827705216,36.66206604489173,16.2,True,66.1,5.05,25.0,9.1,3.95,"[{""name"": ""Mason Montgomery"", ""pitch_score"": 56.5}, {""name"": ""Paul Skenes"", ""pitch_score"": 55.4}, {""name"": ""Jared Jones"", ""pitch_score"": 53.6}]",2.99,50.8,2.88,30.3,Mason Montgomery,Luke Weaver;Camilo Doval;Evan Sisk,"[{""player_name"": ""Bryan Reynolds"", ""OSI"": 52.1, ""trend"": ""falling"", ""position"": ""LF""}]",63.5,32.6,51.1,68.3,67.1,7.6,36.4,44.9,127.0,0.4,0.5,74.0,0.3,0.4,30.9,52.56,36.8,36.8,55.6,29.49,20.6,23.1,31.9,75.7,53.0,53.0,81.4,46.72,34.9,32.7,47.7,stable
SDP,--,51.59,43.33,53.79,54.83,51.82,52.9,47.138795692025866,-1.9,54.17327323759029,44.94667575542147,44.79760851316824,57.05538714886795,57.51121401798613,39.54061917520789,45.40447953310215,47.92488281258436,9.2,True,51.2,4.49,22.1,8.4,3.98,"[{""name"": ""Nick Pivetta"", ""pitch_score"": 58.2}, {""name"": ""Bradgley Rodriguez"", ""pitch_score"": 50.8}, {""name"": ""Kyle Hart"", ""pitch_score"": 48.9}]",2.95,50.4,2.48,35.2,Bradgley Rodriguez,Wandy Peralta;Kyle Hart;Yuki Matsui,"[{""player_name"": ""Fernando Tatis Jr."", ""OSI"": 47.1, ""trend"": ""rising"", ""position"": ""RF""}]",57.7,48.3,45.2,65.9,58.5,26.2,56.1,55.3,111.0,0.4,0.5,81.0,0.3,0.4,9.4,51.59,67.0,52.7,39.9,43.33,60.7,37.5,30.3,53.79,72.1,59.5,39.5,54.83,65.0,54.8,54.8,falling
SEA,--,51.66,46.29,54.1,52.87,52.53,38.4,49.0283559702626,-1.4,52.63596084185187,49.14284223372573,46.6735036210424,57.911715538258434,51.74621124550204,45.31407061622477,44.30339603020359,55.7703399227457,3.5,False,81.9,5.63,22.8,6.1,4.13,"[{""name"": ""Bryce Miller"", ""pitch_score"": 53.4}, {""name"": ""Logan Gilbert"", ""pitch_score"": 53.1}, {""name"": ""Bryan Woo"", ""pitch_score"": 51.7}]",3.96,50.5,4.36,31.5,José A. Ferrer,Gabe Speier;Eduard Bazardo,,,,,,,,,,,,,,,,,51.66,50.3,51.3,51.3,46.29,45.2,46.8,46.8,54.1,57.5,56.8,56.8,52.87,47.2,49.3,49.3,stable
SFG,--,38.48,24.35,70.12,19.61,32.09,25.1,24.018683332808784,-8.0,40.31649215640903,33.74131210258071,26.22473145643312,73.6760516156321,19.934228067073807,19.5438498438848,60.96773815375177,18.79160321949098,6.6,False,44.8,5.28,21.6,7.5,4.65,"[{""name"": ""Erik Miller"", ""pitch_score"": 52.5}, {""name"": ""Landen Roupp"", ""pitch_score"": 49.9}, {""name"": ""Blade Tidwell"", ""pitch_score"": 49.7}]",4.3,47.9,4.73,35.0,Dylan Smith,Carson Seymour;Trent Harris,,,,,,,,,,,,,,,,,38.48,39.5,38.7,38.7,24.35,32.9,28.4,28.4,70.12,67.1,69.4,69.4,19.61,19.4,18.2,18.2,stable
STL,--,47.6,41.83,51.19,48.06,47.08,38.3,45.76909004368746,-0.4,44.8102185902042,54.77853498371812,39.1231022848335,49.46206737208436,44.294298596915766,48.80147545209149,55.64619167260037,57.7549975882128,-10.0,True,52.9,5.14,24.1,6.1,3.06,"[{""name"": ""Dustin May"", ""pitch_score"": 50.6}, {""name"": ""Hunter Dobbins"", ""pitch_score"": 49.6}, {""name"": ""Matthew Liberatore"", ""pitch_score"": 48.4}]",3.84,51.4,3.91,39.9,Riley O'Brien,Justin Bruihl;Gordon Graceffo,"[{""player_name"": ""Iv\u00e1n Herrera"", ""OSI"": 24.6, ""trend"": ""stable"", ""position"": ""DH""}]",28.8,44.9,40.0,31.7,19.1,44.8,38.4,50.8,78.0,0.3,0.4,95.0,0.3,0.4,-16.1,47.6,47.7,44.7,44.1,41.83,29.3,29.3,41.8,51.19,59.4,47.2,47.6,48.06,56.0,60.7,42.4,stable
TBR,--,51.69,75.62,47.63,40.28,44.88,25.0,46.77819806909874,-8.0,54.76459758727515,43.77980423701628,77.08509638159131,52.81948272160456,42.51626134828932,71.8541386359413,34.2936772760813,34.53370632850625,11.0,True,75.3,5.11,22.2,6.5,4.2,"[{""name"": ""Drew Rasmussen"", ""pitch_score"": 52.9}, {""name"": ""Ian Seymour"", ""pitch_score"": 52.2}, {""name"": ""Griffin Jax"", ""pitch_score"": 51.1}]",2.93,49.2,2.49,19.8,Ian Seymour,Cam Booser;Casey Legumina,"[{""player_name"": ""Junior Caminero"", ""OSI"": 59.5, ""trend"": ""falling"", ""position"": ""3B""}]",64.8,63.9,42.7,82.3,63.3,44.5,80.6,61.5,131.0,0.4,0.6,111.0,0.4,0.5,0.9,51.69,40.8,41.7,50.5,75.62,56.4,82.6,73.6,47.63,36.2,33.3,45.8,40.28,34.0,33.1,40.0,stable
TEX,--,37.85,40.16,49.42,26.28,29.85,22.9,26.08036529292273,-8.0,36.77717731985591,40.607504911757104,41.92779577259036,45.05258409694863,26.31705985694075,35.61444962678596,60.66801279994576,26.17522006269899,-3.8,False,63.9,5.14,21.4,5.8,3.06,"[{""name"": ""Jacob deGrom"", ""pitch_score"": 54.6}, {""name"": ""Jacob Latz"", ""pitch_score"": 54.0}, {""name"": ""Nathan Eovaldi"", ""pitch_score"": 51.9}]",3.52,50.3,3.36,37.5,Jacob Latz,Cole Winn;Adam Macko;Chase Silseth;Peyton Gray,,,,,,,,,,,,,,,,,37.85,36.3,35.3,35.3,40.16,38.7,40.1,40.1,49.42,47.0,45.9,45.9,26.28,25.5,23.0,23.0,stable
TOR,--,32.46,59.35,31.02,16.91,29.1,53.9,15.879239262600109,-6.2,31.71022522154078,34.377020523316176,59.43087107676341,33.771773147401525,12.58096712689848,59.13140420396119,23.94156677085432,28.036552756317157,-2.7,False,66.8,4.76,21.7,10.2,3.72,"[{""name"": ""Dylan Cease"", ""pitch_score"": 57.3}, {""name"": ""Cody Ponce"", ""pitch_score"": 54.0}, {""name"": ""Mason Fluharty"", ""pitch_score"": 51.6}]",2.87,51.8,2.48,23.2,Louis Varland,Brendon Little;Braydon Fisher;Mason Fluharty;Spencer Miles,,,,,,,,,,,,,,,,,32.46,30.0,29.7,29.7,59.35,57.5,58.6,58.6,31.02,35.0,33.2,33.2,16.91,8.5,8.7,8.7,stable
WSN,--,70.95,49.45,89.44,68.22,63.49,63.3,87.11020378261624,-7.3,69.32436741330574,75.13824127629282,50.37705855077466,86.9130176027824,65.77636653659555,47.05206130479877,95.93150172346628,74.49800086719983,-5.8,False,36.7,4.55,17.9,9.3,5.69,"[{""name"": ""Cade Cavalli"", ""pitch_score"": 52.1}, {""name"": ""Jake Irvin"", ""pitch_score"": 50.5}, {""name"": ""Foster Griffin"", ""pitch_score"": 50.4}]",4.37,48.2,4.95,31.4,Clayton Beeter,Tom Cosgrove;Brad Lord,,,,,,,,,,,,,,,,,70.95,68.4,69.1,69.1,49.45,47.7,49.8,49.8,89.44,87.3,88.1,88.1,68.22,64.8,64.5,64.5,stable
