Name,Tm,PA,AB,AVG,OBP,SLG,BB%,K%,wOBA,xwOBA,wRC+,ISO,BABIP,Chase%,ZCon%,OCon%,SwStr%,Barrel%,HardHit%,Launch Angle
Corbin Carroll,ARI,391.0,336.0,0.208,0.309,0.44,0.1202,0.2225,0.324,0.348,100.0,0.232,0.234,,,,,,,
Brandon Nimmo,TEX,391.0,350.0,0.24,0.317,0.394,0.0895,0.2251,0.314,0.356,93.0,0.154,0.295,,,,,,,
Luis García Jr.,NYY,391.0,370.0,0.297,0.33,0.589,0.0486,0.1637,0.393,0.354,147.0,0.292,0.3,,,,,,,
Chase Meidroth,CHW,390.0,348.0,0.253,0.321,0.356,0.0821,0.2359,0.304,0.292,87.0,0.103,0.32,,,,,,,
Shohei Ohtani,LAD,389.0,320.0,0.284,0.402,0.525,0.162,0.2314,0.393,0.403,146.0,0.241,0.34,,,,,,,
Vladimir Guerrero Jr.,TOR,389.0,352.0,0.256,0.316,0.349,0.0771,0.1234,0.293,0.333,80.0,0.093,0.281,,,,,,,
Julio Rodríguez,SEA,387.0,353.0,0.255,0.31,0.399,0.0672,0.2196,0.312,0.343,92.0,0.144,0.3,,,,,,,
Freddie Freeman,LAD,386.0,336.0,0.318,0.394,0.497,0.114,0.1503,0.386,0.371,142.0,0.179,0.353,,,,,,,
Seiya Suzuki,CHC,386.0,339.0,0.263,0.35,0.466,0.1114,0.2746,0.357,0.338,123.0,0.203,0.335,,,,,,,
Brandon Marsh,PHI,385.0,354.0,0.288,0.338,0.452,0.0727,0.213,0.341,0.309,112.0,0.164,0.337,,,,,,,
Jake Burger,TEX,384.0,353.0,0.224,0.286,0.385,0.0729,0.2656,0.298,0.312,83.0,0.161,0.274,,,,,,,
Xander Bogaerts,SDP,382.0,326.0,0.218,0.319,0.334,0.123,0.1937,0.297,0.323,82.0,0.116,0.247,,,,,,,
Liam Hicks,TBR,382.0,327.0,0.312,0.395,0.502,0.1073,0.0785,0.389,0.317,144.0,0.19,0.3,,,,,,,
Rafael Devers,SFG,382.0,335.0,0.29,0.369,0.585,0.1152,0.2435,0.404,0.33,154.0,0.295,0.33,,,,,,,
Salvador Perez,KCR,382.0,354.0,0.203,0.247,0.345,0.0366,0.2016,0.261,0.303,58.0,0.142,0.219,,,,,,,
Elly De La Cruz,CIN,382.0,338.0,0.249,0.332,0.423,0.1099,0.2723,0.334,0.361,107.0,0.174,0.32,,,,,,,
Brandon Lowe,PIT,382.0,337.0,0.273,0.351,0.549,0.1047,0.2592,0.387,0.32,143.0,0.276,0.317,,,,,,,
Willson Contreras,BOS,381.0,323.0,0.276,0.376,0.508,0.0919,0.273,0.386,0.374,142.0,0.232,0.345,,,,,,,
Bobby Witt Jr.,KCR,381.0,338.0,0.287,0.362,0.45,0.1024,0.189,0.357,0.383,122.0,0.163,0.332,,,,,,,
Alec Bohm,PHI,377.0,338.0,0.234,0.305,0.349,0.0769,0.1459,0.292,0.319,79.0,0.115,0.255,,,,,,,
TJ Rumfield,COL,376.0,326.0,0.301,0.388,0.466,0.1064,0.1436,0.377,0.328,136.0,0.165,0.331,,,,,,,
Mike Trout,LAA,375.0,305.0,0.23,0.371,0.43,0.1653,0.2613,0.352,0.379,119.0,0.2,0.285,,,,,,,
Austin Riley,ATL,374.0,340.0,0.215,0.278,0.371,0.0642,0.3182,0.288,0.298,76.0,0.156,0.284,,,,,,,
Kyle Schwarber,PHI,374.0,311.0,0.228,0.346,0.531,0.1497,0.3556,0.373,0.366,133.0,0.303,0.279,,,,,,,
Colson Montgomery,CHW,373.0,334.0,0.189,0.268,0.392,0.0858,0.3673,0.289,0.302,77.0,0.203,0.244,,,,,,,
Spencer Torkelson,DET,372.0,327.0,0.205,0.291,0.404,0.0968,0.328,0.307,0.308,89.0,0.199,0.262,,,,,,,
Steven Kwan,CLE,372.0,317.0,0.297,0.389,0.366,0.1263,0.086,0.342,0.322,112.0,0.069,0.323,,,,,,,
Kyle Tucker,LAD,371.0,320.0,0.219,0.321,0.341,0.1267,0.1806,0.3,0.326,84.0,0.122,0.248,,,,,,,
Josh Naylor,SEA,371.0,335.0,0.257,0.324,0.352,0.0863,0.1132,0.301,0.316,85.0,0.095,0.275,,,,,,,
Cole Young,SEA,370.0,337.0,0.252,0.314,0.421,0.0703,0.1541,0.324,0.315,100.0,0.169,0.269,,,,,,,
Joc Pederson,TEX,370.0,320.0,0.244,0.338,0.491,0.1189,0.2216,0.359,0.343,124.0,0.247,0.252,,,,,,,
Nolan Arenado,ARI,369.0,329.0,0.234,0.31,0.419,0.0813,0.206,0.321,0.287,98.0,0.185,0.258,,,,,,,
Ben Rice,NYY,369.0,312.0,0.256,0.366,0.561,0.1463,0.2358,0.395,0.375,148.0,0.305,0.272,,,,,,,
Sam Antonacci,CHW,367.0,316.0,0.278,0.373,0.427,0.0872,0.1444,0.357,0.341,122.0,0.149,0.313,,,,,,,
Max Muncy,LAD,366.0,315.0,0.254,0.355,0.498,0.1311,0.2404,0.369,0.35,131.0,0.244,0.288,,,,,,,
Ezequiel Duran,TEX,364.0,337.0,0.27,0.311,0.454,0.0549,0.2418,0.332,0.3,106.0,0.184,0.328,,,,,,,
Ernie Clement,TOR,364.0,348.0,0.287,0.308,0.399,0.0302,0.0962,0.309,0.266,90.0,0.112,0.304,,,,,,,
Nick Gonzales,PIT,363.0,331.0,0.326,0.386,0.432,0.0661,0.168,0.363,0.323,127.0,0.106,0.389,,,,,,,
Carter Jensen,KCR,363.0,314.0,0.217,0.309,0.433,0.1185,0.2837,0.324,0.292,100.0,0.216,0.26,,,,,,,
Dillon Dingler,DET,363.0,326.0,0.267,0.338,0.531,0.0606,0.2039,0.377,0.348,136.0,0.264,0.283,,,,,,,
Josh Bell,MIN,363.0,323.0,0.245,0.318,0.418,0.0909,0.2121,0.324,0.329,100.0,0.173,0.283,,,,,,,
Caleb Durbin,BOS,361.0,320.0,0.253,0.326,0.394,0.0803,0.144,0.32,0.288,97.0,0.141,0.275,,,,,,,
Bryce Harper,PHI,361.0,297.0,0.3,0.418,0.613,0.1717,0.1773,0.438,0.394,177.0,0.313,0.311,,,,,,,
Jose Altuve,HOU,360.0,330.0,0.242,0.298,0.4,0.075,0.2028,0.306,0.275,88.0,0.158,0.278,,,,,,,
Colt Keith,DET,360.0,327.0,0.269,0.331,0.425,0.0778,0.1917,0.332,0.337,106.0,0.156,0.315,,,,,,,
Andrew Benintendi,CHW,359.0,322.0,0.252,0.315,0.457,0.0864,0.2173,0.334,0.313,107.0,0.205,0.285,,,,,,,
Kody Clemens,MIN,359.0,327.0,0.235,0.296,0.471,0.0669,0.2256,0.331,0.336,105.0,0.236,0.26,,,,,,,
Jake Bauers,MIL,358.0,299.0,0.268,0.385,0.482,0.1536,0.2737,0.378,0.372,137.0,0.214,0.341,,,,,,,
Tristan Peters,CHW,358.0,323.0,0.297,0.357,0.498,0.0754,0.176,0.371,0.313,132.0,0.201,0.339,,,,,,,
Brooks Lee,MIN,356.0,333.0,0.267,0.312,0.498,0.0618,0.1292,0.351,0.273,118.0,0.231,0.26,,,,,,,
Cam Smith,HOU,355.0,321.0,0.215,0.277,0.374,0.0704,0.2563,0.287,0.32,75.0,0.159,0.26,,,,,,,
Ozzie Albies,ATL,354.0,309.0,0.23,0.308,0.379,0.0932,0.1808,0.305,0.287,87.0,0.149,0.246,,,,,,,
Jake McCarthy,COL,353.0,324.0,0.281,0.318,0.463,0.0538,0.1671,0.337,0.318,109.0,0.182,0.312,,,,,,,
Jung Hoo Lee,SFG,352.0,325.0,0.302,0.347,0.446,0.054,0.0852,0.347,0.319,116.0,0.144,0.313,,,,,,,
Chandler Simpson,TBR,352.0,324.0,0.324,0.361,0.373,0.0597,0.071,0.325,0.262,101.0,0.049,0.347,,,,,,,
Matt Olson,ATL,349.0,306.0,0.255,0.341,0.539,0.1146,0.2493,0.375,0.362,134.0,0.284,0.278,,,,,,,
Trevor Larnach,MIN,348.0,309.0,0.278,0.359,0.437,0.1034,0.1667,0.352,0.332,119.0,0.159,0.318,,,,,,,
Brayan Rocchio,CLE,348.0,315.0,0.263,0.326,0.378,0.069,0.1379,0.314,0.291,93.0,0.115,0.29,,,,,,,
Luke Keaschall,MIN,347.0,295.0,0.275,0.364,0.407,0.0893,0.1412,0.343,0.312,113.0,0.132,0.299,,,,,,,
Daulton Varsho,HOU,347.0,315.0,0.225,0.294,0.365,0.0893,0.2017,0.291,0.29,78.0,0.14,0.262,,,,,,,
Garrett Mitchell,MIL,344.0,301.0,0.259,0.352,0.422,0.1192,0.3227,0.342,0.346,112.0,0.163,0.385,,,,,,,
Jazz Chisholm Jr.,NYY,344.0,299.0,0.231,0.326,0.405,0.1221,0.2762,0.321,0.293,99.0,0.174,0.29,,,,,,,
Justin Crawford,PHI,344.0,314.0,0.274,0.319,0.373,0.061,0.1686,0.305,0.286,88.0,0.099,0.327,,,,,,,
Cedric Mullins,TBR,343.0,299.0,0.207,0.287,0.378,0.0904,0.2012,0.295,0.261,81.0,0.171,0.222,,,,,,,
JJ Bleday,CIN,341.0,285.0,0.225,0.344,0.449,0.1466,0.2111,0.349,0.35,117.0,0.224,0.241,,,,,,,
Mauricio Dubón,ATL,340.0,314.0,0.28,0.329,0.389,0.0647,0.1265,0.319,0.304,97.0,0.109,0.309,,,,,,,
Trent Grisham,NYY,339.0,290.0,0.203,0.308,0.41,0.1327,0.174,0.318,0.339,96.0,0.207,0.201,,,,,,,
Jac Caglianone,KCR,339.0,309.0,0.294,0.354,0.518,0.0826,0.2448,0.376,0.362,136.0,0.224,0.355,,,,,,,
Jeff McNeil,ATH,336.0,309.0,0.278,0.322,0.388,0.0536,0.1161,0.313,0.309,93.0,0.11,0.299,,,,,,,
Marcus Semien,NYM,335.0,309.0,0.21,0.263,0.343,0.0687,0.2119,0.269,0.307,64.0,0.133,0.236,,,,,,,
Brett Baty,NYM,333.0,299.0,0.234,0.298,0.365,0.0811,0.2643,0.294,0.305,80.0,0.131,0.3,,,,,,,
Michael Harris II,ATL,332.0,318.0,0.308,0.329,0.513,0.0331,0.2078,0.364,0.343,127.0,0.205,0.354,,,,,,,
Chase DeLauter,CLE,331.0,291.0,0.268,0.35,0.44,0.1148,0.1299,0.348,0.34,117.0,0.172,0.28,,,,,,,
Dominic Canzone,SEA,330.0,303.0,0.254,0.309,0.482,0.0697,0.2152,0.342,0.357,112.0,0.228,0.28,,,,,,,
Hunter Goodman,COL,328.0,300.0,0.247,0.305,0.557,0.0671,0.311,0.369,0.331,131.0,0.31,0.272,,,,,,,
Jackson Chourio,MIL,324.0,299.0,0.274,0.327,0.468,0.0679,0.2377,0.347,0.342,116.0,0.194,0.325,,,,,,,
Kyle Stowers,MIA,324.0,283.0,0.258,0.347,0.498,0.1019,0.3241,0.365,0.331,128.0,0.24,0.354,,,,,,,
Eugenio Suárez,CIN,323.0,287.0,0.216,0.294,0.429,0.0867,0.3282,0.317,0.282,96.0,0.213,0.274,,,,,,,
Nathaniel Lowe,CLE,323.0,288.0,0.281,0.347,0.51,0.096,0.2353,0.369,0.335,131.0,0.229,0.328,,,,,,,
Evan Carter,TEX,321.0,275.0,0.207,0.311,0.356,0.1184,0.2212,0.301,0.283,85.0,0.149,0.249,,,,,,,
José Ramírez,CLE,321.0,275.0,0.218,0.313,0.338,0.1246,0.1558,0.29,0.342,77.0,0.12,0.241,,,,,,,
