team,pitcher_hand,games,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
SFG,R,26,624,543,136,221,62,6,136,19,21.79487,9.9359,0.25046,0.33117,0.407,0.15654,0.32568,3.04487,2026-08-04,2026-09-03
STL,L,25,376,328,82,152,35,9,79,18,21.01064,9.30851,0.25,0.336,0.46341,0.21341,0.3496,4.78723,2026-08-04,2026-09-03
STL,R,27,660,596,146,221,46,8,149,14,22.57576,6.9697,0.24497,0.30349,0.37081,0.12584,0.29818,2.12121,2026-08-04,2026-09-03
TBR,L,25,279,255,65,102,17,2,48,8,17.2043,6.09319,0.2549,0.30545,0.4,0.1451,0.30572,2.86738,2026-08-04,2026-09-03
TBR,R,27,764,681,185,278,62,6,119,22,15.57592,8.11518,0.27166,0.3351,0.40822,0.13656,0.32775,2.87958,2026-08-04,2026-09-03
TEX,L,24,429,372,103,173,41,5,90,15,20.97902,9.55711,0.27688,0.35142,0.46505,0.18817,0.35563,3.4965,2026-08-04,2026-09-03
TEX,R,27,575,510,105,165,55,7,133,12,23.13043,9.56522,0.20588,0.29196,0.32353,0.11765,0.27692,2.08696,2026-08-04,2026-09-03
TOR,L,23,394,355,92,138,27,3,72,8,18.27411,6.85279,0.25915,0.31282,0.38873,0.12958,0.30944,2.03046,2026-08-04,2026-09-03
TOR,R,27,643,574,149,230,53,6,128,17,19.90669,8.24261,0.25958,0.32551,0.4007,0.14111,0.3186,2.64386,2026-08-04,2026-09-03
WSN,L,21,246,222,57,96,19,4,65,8,26.42276,7.72358,0.25676,0.3252,0.43243,0.17568,0.3335,3.25203,2026-08-04,2026-09-03
WSN,R,28,807,714,164,259,76,8,173,19,21.43742,9.4176,0.22969,0.30923,0.36275,0.13305,0.29966,2.3544,2026-08-04,2026-09-03
LGE,L,1561,10014,8940,2204,3589,853,114,2277,293,22.73817,8.51807,0.24653,0.31809,0.40145,0.15492,0.31743,2.9259,2026-08-04,2026-09-03
LGE,R,1561,21069,18647,4541,7301,1932,243,4476,599,21.24448,9.16987,0.24352,0.32011,0.39154,0.14801,0.31499,2.84304,2026-08-04,2026-09-03
