abq,obr,oor,osi,rcv,pals,team,abq_l7,obr_l7,osi_l7,pp_gap,rcv_l7,abq_l14,abq_l30,abq_ytd,obr_l14,obr_l30,obr_ytd,osi_l14,osi_l30,osi_ytd,rcv_l14,rcv_l30,rcv_ytd,away_abq,away_obr,away_osi,away_rcv,away_slg,away_wrc,home_abq,home_obr,home_osi,home_rcv,home_slg,home_wrc,proj_osi,team_era,top_3_sp,away_woba,home_woba,abq_vs_lhp,abq_vs_rhp,obr_vs_lhp,obr_vs_rhp,osi_vs_lhp,osi_vs_rhp,rcv_vs_lhp,rcv_vs_rhp,team_k_pct,bullpen_era,closer_name,platoon_gap,team_bb_pct,top_batters,primary_setup,avg_ip_per_start,window_direction,home_away_osi_gap,platoon_sensitive,avg_pitching_score,record_placeholder,bullpen_osi_allowed,bullpen_high_lev_era,bullpen_ir_scored_pct
45.32,37.53,54.47,49.04,64.83,38.1,DET,44.5,37.7,48,-6,62.2,44.2,43.8,45.32,36.6,36.3,37.53,46.7,46.3,49.04,60.1,59.4,64.83,,,,,,,,,,,,,43.03,8.18,"[{""name"": ""Tarik Skubal"", ""pitch_score"": 56.7}, {""name"": ""Ty Madden"", ""pitch_score"": 52.9}, {""name"": ""Drew Anderson"", ""pitch_score"": 52.3}]",,,53.43,45.32,56.52,37.53,53.84,49.04,51.06,64.83,20.8,3.04,Kyle Finnegan,-4.8,6.5,,Tyler Holton;Brenan Hanifee;Drew Sommers,5.17,stable,,FALSE,71.7,--,45.2,3.36,19.6
41.26,34.66,40.24,44.63,58.44,33.4,HOU,42.2,35,44.9,-7.7,58,42,41.8,41.26,36,36.4,34.66,44.9,44.7,44.63,57,56.3,58.44,,,,,,,,,,,,,36.9,6.78,"[{""name"": ""Steven Okert"", ""pitch_score"": 53.2}, {""name"": ""Peter Lambert"", ""pitch_score"": 49.6}, {""name"": ""Tatsuya Imai"", ""pitch_score"": 49.2}]",,,38.27,41.26,28.18,34.66,39.08,44.63,52.11,58.44,21.6,3.33,Bryan King,5.6,12.9,,Steven Okert;Bennett Sousa;AJ Blubaugh,4.83,stable,,FALSE,34.6,--,45.5,3.15,24
58.91,38.62,46.44,48.27,51.7,71.6,KCR,59.1,38.6,48.5,-2.8,52.2,60.6,61,58.91,43.9,44.9,38.62,51.4,51.9,48.27,53.5,53.4,51.7,,,,,,,,,,,,,45.5,7.19,"[{""name"": ""Steven Cruz"", ""pitch_score"": 51.2}, {""name"": ""Cole Ragans"", ""pitch_score"": 49.9}, {""name"": ""Kris Bubic"", ""pitch_score"": 49.2}]",,,53.69,58.91,28.13,38.62,43.3,48.27,53.22,51.7,19.2,4.29,Steven Cruz,5,8.8,,Matt Strahm;Daniel Lynch IV;John Schreiber,5.28,stable,,FALSE,27.6,--,47.4,4.48,31
24.69,13.07,21.13,26.54,43.25,29,LAA,24.4,13.5,26.9,-7,44,24.6,24.6,24.69,14.2,14.6,13.07,27.9,28.4,26.54,45.9,46.8,43.25,,,,,,,,,,,,,19.51,6.95,"[{""name"": ""Reid Detmers"", ""pitch_score"": 53.2}, {""name"": ""Brent Suter"", ""pitch_score"": 49.8}, {""name"": ""Yusei Kikuchi"", ""pitch_score"": 49.4}]",,,27.52,24.69,20.95,13.07,34.83,26.54,55.91,43.25,18.9,3.84,Ryan Zeferjahn,-8.3,13.5,,Brent Suter;Sam Bachman;Samy Natera Jr.;José Fermin,4.78,stable,,TRUE,48.7,--,47.4,3.84,35.4
70.47,95.71,99.09,83.33,78.35,59,LAD,70.9,96,83.4,-4.4,78,71.5,71.6,70.47,96.1,96,95.71,83.8,83.9,83.33,78.4,78.9,78.35,,,,,,,,,,,,,78.89,4.69,"[{""name"": ""Tyler Glasnow"", ""pitch_score"": 55.5}, {""name"": ""Jack Dreyer"", ""pitch_score"": 53.5}, {""name"": ""Shohei Ohtani"", ""pitch_score"": 53.4}]",,,65.23,70.47,87.88,95.71,73.92,83.33,64.19,78.35,31.9,3.25,Will Klein,9.4,7,,Brock Stewart;Jack Dreyer;Edgardo Henriquez,5.55,stable,,TRUE,82.4,--,43.7,3.29,34
44.58,35.86,46,47.81,63.76,66.8,MIA,44.9,34.9,47.2,-8,62.9,45.9,45.9,44.58,35.6,35.8,35.86,46.7,46.1,47.81,59.9,58,63.76,,,,,,,,,,,,,39.81,8.16,"[{""name"": ""Pete Fairbanks"", ""pitch_score"": 52.7}, {""name"": ""Max Meyer"", ""pitch_score"": 51.5}, {""name"": ""Lake Bachar"", ""pitch_score"": 50.7}]",,,37.62,44.58,35.24,35.86,43.28,47.81,56.5,63.76,19.7,3.84,Pete Fairbanks,4.5,11.2,,Michael Petersen;John King;Calvin Faucher;Tyler Zuber;Cade Gibson,5.13,stable,,FALSE,65.3,--,47.7,4.07,19.6
72.59,75.58,76.12,67.67,55.11,67.6,MIL,70.1,70.9,65,-6,54.6,69.7,69.7,72.59,70.6,70.8,75.58,64.2,64,67.67,52.9,52.3,55.11,,,,,,,,,,,,,61.7,3.7,"[{""name"": ""Jacob Misiorowski"", ""pitch_score"": 61.3}, {""name"": ""Logan Henderson"", ""pitch_score"": 56.3}, {""name"": ""Kyle Harrison"", ""pitch_score"": 54.6}]",,,72.26,72.59,76.98,75.58,61.04,67.67,34.79,55.11,27.1,3.23,Chad Patrick,6.6,8.7,,Aaron Ashby;Grant Anderson,5.07,stable,,FALSE,91.7,--,47.3,3.14,38.6
38.23,29.69,44.19,45.23,68,39.7,MIN,38.3,29.4,45.4,-8,68.8,39,39,38.23,29.9,30.5,29.69,46,46.1,45.23,69.4,69.2,68,,,,,,,,,,,,,37.23,4.04,"[{""name"": ""Joe Ryan"", ""pitch_score"": 53.6}, {""name"": ""Taj Bradley"", ""pitch_score"": 51.7}, {""name"": ""Andrew Morris"", ""pitch_score"": 51.0}]",,,42.06,38.23,43.4,29.69,43.97,45.23,45.97,68,21.6,3.64,Andrew Morris,1.3,8.2,,Tommy Nance;Kody Funderburk,5.31,stable,,FALSE,51.6,--,45.7,3.47,34.9
37.86,37.51,43.71,42.16,50.55,47.9,NYM,38.5,38.1,42.2,1.9,49.7,39.2,39.2,37.86,37.1,37,37.51,41.5,41.2,42.16,48.2,47.3,50.55,,,,,,,,,,,,,44.06,6.05,"[{""name"": ""Nolan McLean"", ""pitch_score"": 53.1}, {""name"": ""Christian Scott"", ""pitch_score"": 52.3}, {""name"": ""Sean Manaea"", ""pitch_score"": 49.5}]",,,37.76,37.86,39.72,37.51,47.21,42.16,62.53,50.55,20.9,3.12,Devin Williams,-5.1,11.6,,Brooks Raley;Luke Weaver;Huascar Brazobán;Cionel Pérez,5.04,stable,,FALSE,64.4,--,48.6,2.79,28
37.49,66.6,66.27,60.72,70.59,81.1,NYY,37.3,66.5,60.8,-1.3,71.2,38.3,38.7,37.49,68.4,69.1,66.6,62.7,63.3,60.72,73.6,74.2,70.59,,,,,,,,,,,,,59.38,4.29,"[{""name"": ""Cam Schlittler"", ""pitch_score"": 55.7}, {""name"": ""Gerrit Cole"", ""pitch_score"": 52.6}, {""name"": ""Ryan Weathers"", ""pitch_score"": 52.4}]",,,32.04,37.49,56.78,66.6,55.8,60.72,71.65,70.59,20.9,2.7,David Bednar,4.9,8,,Tim Hill;Camilo Doval;Brent Headrick,5.41,stable,,FALSE,79.4,--,46.6,2.77,21.3
