xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.38,74,13.51,-0.24,1.55,0.33,CHC,27.03,44.44,Eephus,EP,5.26,0.5,1078.81,81.16,43.35,70
0.37,50,18,-0.82,0.15,0.23,CHC,14,20.93,Forkball,FO,56.25,0.12,1095.28,71.44,82.88,100
0.19,48,16.67,-0.82,0.92,0.22,CHC,54.17,18.18,Other,FA,8.33,0.38,1753.88,80.35,70.71,76.92
0.26,31,29.03,-0.26,-0.25,0.14,CHC,48.39,25,Knuckleball,KN,28.57,0.14,343.55,87.79,80.23,66.67
0.01,9,22.22,0.6,-0.7,0.04,CHC,22.22,14.29,Slow Curve,CS,66.67,0,2385.78,95,74.82,100
0.35,6075,26.07,-0.37,1.29,30.58,CHW,52.53,25.31,4-Seam Fastball,FF,20.62,0.24,2306.49,84,94.67,69.23
0.36,3447,26.86,-0.47,0.64,17.35,CHW,56.34,24.45,Sinker,SI,14.52,0.25,2178.14,84.15,94.39,64.73
0.29,2727,29.56,0.15,0.13,13.73,CHW,42.54,33.25,Slider,SL,33.63,0.22,2427.12,82.69,86.47,71.21
0.31,2248,24.11,-0.28,0.31,11.32,CHW,38.79,36.05,Changeup,CH,29.76,0.27,1767.02,80.29,85.75,77.98
0.34,1637,24.98,0.15,0.69,8.24,CHW,50.76,29.28,Cutter,FC,22.25,0.23,2372.97,81.76,89.55,73.29
0.29,1287,27.66,0.53,0.1,6.48,CHW,42.42,25.24,Sweeper,ST,28.28,0.2,2593.46,79.76,82.59,64.84
0.33,1189,27.75,0.46,-0.87,5.98,CHW,40.87,23.47,Curveball,CU,22.77,0.23,2603.92,80.93,79.74,53.7
0.25,623,23.43,-0.75,0.19,3.14,CHW,37.08,30.1,Split-Finger,FS,32.67,0.19,1311.91,81.57,88.15,80.09
0.3,406,27.83,0.52,-0.62,2.04,CHW,42.61,30.47,Knuckle Curve,KC,26.46,0.26,2566.66,82.77,82.69,68.21
0.17,113,5.31,0,0,0.57,CHW,0,28.32,Unknown,UNK,6.25,0.12,0,0,0,0
0.35,85,23.53,0.83,-0.6,0.43,CHW,41.18,36,Slurve,SV,27.91,0.4,2841.18,81.68,80.81,71.43
0.57,21,14.29,-0.23,1.59,0.11,CHW,23.81,25,Eephus,EP,0,0.5,1023.76,100.1,42.63,40
0,6,0,-0.72,1.24,0.03,CHW,33.33,0,Pitch Out,PO,0,0,2264.67,0,89.63,0
0,2,0,1.47,-0.56,0.01,CHW,0,100,Slow Curve,CS,0,0,2746,89.8,68.1,0
0.31,1,0,-0.48,1.14,0.01,CHW,100,0,Other,FA,0,0,1438,95.4,55.4,100
0.33,6026,28.84,-0.39,1.32,29.53,CIN,52.67,25.91,4-Seam Fastball,FF,21.46,0.21,2345.09,83.47,94.95,65.09
0.38,3658,29.11,-0.64,0.66,17.92,CIN,57.16,23.36,Sinker,SI,12.39,0.26,2225.79,85.49,94.41,59.68
0.27,2540,30.39,0.19,0.16,12.45,CIN,43.74,31.28,Slider,SL,33.28,0.19,2450.85,84.35,86.2,67.69
0.3,2341,25.42,-0.49,0.39,11.47,CIN,38.15,29.35,Changeup,CH,33.79,0.23,1776.5,79.66,86.3,75.36
0.24,1794,28.21,0.73,0.1,8.79,CIN,41.97,26.61,Sweeper,ST,28.44,0.2,2620.88,79.42,83.07,63.61
0.3,1616,31,0.36,-0.84,7.92,CIN,38.43,28.34,Curveball,CU,32.25,0.2,2629.42,84.15,80.56,53.46
0.37,1445,29.34,0.12,0.67,7.08,CIN,53.29,22.96,Cutter,FC,19,0.31,2432.36,83.01,89.67,65.32
0.27,501,29.34,-0.64,0.25,2.45,CIN,40.52,33.89,Split-Finger,FS,39.15,0.2,1512.1,80.17,87.05,77.34
0.38,276,22.46,0.64,-0.69,1.35,CIN,39.86,33.13,Knuckle Curve,KC,21.97,0.37,2529.98,81.61,82.09,70
0.21,86,34.88,0.69,-0.57,0.42,CIN,60.47,17.65,Slurve,SV,26.32,0.27,2872.14,86.95,82.44,61.54
0.35,53,5.66,0,0,0.26,CIN,0,7.55,Unknown,UNK,0,0.33,0,0,0,0
