ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
13.5,3.26,0,,4.47,16.7,FALSE,16.7,14.4,0.67,1,,13.5,100,124.1,70.9,0,595345,68,93.1,82.2,79.8,20,season,,13.5,R,Steven Okert,HOU,Fewer than 2 L14 starts (0) -- using season data.
3.38,2.92,0,,4.17,20,FALSE,0,1.8,2.67,1,,3.38,28.4,85.1,29.2,0,596001,50.4,18.3,29.5,27.4,31,season,3.38,,R,Jakob Junis,TEX,Fewer than 2 L14 starts (0) -- using season data.
4.5,1.23,0,,3.19,36.4,FALSE,9.1,5.4,4,4,3.6,4.91,38.7,103.3,46,0,601713,45.5,42.2,47.1,53.7,70.8,season,4.91,,R,Nick Pivetta,SDP,Fewer than 2 L14 starts (0) -- using season data.
5.67,4.77,1.17,,4.98,12.4,FALSE,9.6,5.76,4.6,10,8.14,2.91,41.4,99.6,53,0,605135,48.2,35.9,44.1,50.4,82.7,season,3.74,,R,Chris Bassitt,BAL,Fewer than 2 L14 starts (0) -- using season data.
2.39,3.22,0.51,,3.67,20.9,FALSE,8.4,2.4,5.85,9,2.1,2.78,57.9,104.8,56.1,0,605280,46.2,48.7,53.5,64.1,92,season,1.4,5.79,R,Clay Holmes,NYM,Fewer than 2 L14 starts (0) -- using season data.
5.73,5.33,1.64,,4.85,15.8,FALSE,8.3,5.79,4.71,14,5.05,6.84,50.6,100.5,60,0,605288,44.8,48.5,50.5,56.9,79.5,season,6.75,3.18,R,Adrian Houser,SFG,Fewer than 2 L14 starts (0) -- using season data.
5.58,4.85,1.9,,3.96,23.2,FALSE,7.6,5.51,5.04,16,5.4,5.82,47.9,99.4,52.6,0,605400,44.3,48.1,47.3,48.4,89.5,season,4.36,7.71,R,Aaron Nola,PHI,Fewer than 2 L14 starts (0) -- using season data.
12,1.77,0,,2.27,27.8,FALSE,11.1,10.8,3,1,,12,48.3,102.8,45.5,0,605483,40.8,43.3,47.4,56.8,77,season,12,,R,Blake Snell,LAD,Fewer than 2 L14 starts (0) -- using season data.
5.52,5.72,2.25,,4.55,20.6,FALSE,7.7,6.67,5.18,17,4.38,6.43,45.8,102.1,52.8,0,605488,47.8,46.3,50.3,56.8,87.7,season,4.85,3.38,R,Jeffrey Springs,ATH,Fewer than 2 L14 starts (0) -- using season data.
3,3.27,1,,4.03,25,FALSE,5,3.6,5.14,7,2.89,3.12,43.9,96.2,46.6,0,605540,50,39,42.8,41.8,70.6,season,2.88,,R,Brandon Woodruff,MIL,Fewer than 2 L14 starts (0) -- using season data.
4.91,4.83,1.3,,4.71,16.1,FALSE,8.8,5.1,5.19,12,8.23,2.31,46.8,101.5,48.9,0,607067,46.7,44.8,47.2,50.2,86.8,season,4.12,16.2,R,Colin Rea,CHC,Fewer than 2 L14 starts (0) -- using season data.
2.72,3.25,1.13,,2.9,33.1,FALSE,8.8,3.09,5.67,7,1.64,4.08,35,98.3,47.5,0,607192,44.1,32.6,39.8,45.1,85.6,season,2.67,,R,Tyler Glasnow,LAD,Fewer than 2 L14 starts (0) -- using season data.
4.35,5.53,2.29,,5.01,14.9,FALSE,8.3,4.27,4.92,8,4.07,4.8,50.2,101.1,53,0,607200,48.1,44.8,51,60.1,81.4,season,4.86,12,R,Erick Fedde,CHW,Fewer than 2 L14 starts (0) -- using season data.
2.73,3.68,0.81,,4.47,15.1,FALSE,4.7,2.4,5.93,15,2.18,3.21,50.8,101.5,54.7,0,607259,48.1,48.1,50.1,53.8,82.8,season,2.54,2.81,R,Nick Martinez,TBR,Fewer than 2 L14 starts (0) -- using season data.
7.5,5.21,2,,4.53,18.3,FALSE,5.1,7.46,5.14,14,8.31,6.75,44.5,100.4,49.7,0,607536,39.5,36.1,39.4,43,85.9,season,7.38,18,R,Kyle Freeland,COL,Fewer than 2 L14 starts (0) -- using season data.
4.18,3.64,1,,4.43,18.1,FALSE,7.9,4.61,5.65,16,4.73,3.75,46.7,102.2,44.3,0,607625,45.8,44,48.4,55.2,89.4,season,4.5,,R,Seth Lugo,KCR,Fewer than 2 L14 starts (0) -- using season data.
3.21,2.71,0.15,,3.88,20.8,FALSE,7.9,3.24,6.17,10,2.23,5.71,42.2,102.7,48.8,0,608331,46.5,38.7,44.5,49.7,91.7,season,2.09,,R,Max Fried,NYY,Fewer than 2 L14 starts (0) -- using season data.
4.35,6.07,1.31,,6.33,14.7,FALSE,18.9,3.6,4.13,5,6.94,1,52.2,99,49.5,0,608337,43.2,49.6,51.2,58.8,80,season,4.15,,R,Lucas Giolito,SDP,Fewer than 2 L14 starts (0) -- using season data.
3.48,3.84,0.89,,4.26,18.8,FALSE,7.1,3.6,6.31,16,4.02,2.85,50.7,101.7,51.9,0,608379,45.8,47,50.2,56.8,91.5,season,2.6,2.77,R,Michael Wacha,KCR,Fewer than 2 L14 starts (0) -- using season data.
