ERA,FIP,HR9,OPS,xFIP,K_pct,BB_pct,F5_ERA,avg_IP,starts,OOR_faced,wRC_faced,PALS_faced,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,split_value,pitcher_hand,pitcher_name,pitcher_team,split_dimension
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,osi_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Mid,R,Justin Verlander,DET,abq_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,rcv_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,Low,R,Justin Verlander,DET,obr_tier
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,R,R,Justin Verlander,DET,hand
12.27,7.74,2.45,1.13,,5.3,10.5,14.4,3.67,1,27.7,80.9,28.7,434378,57.7,17.1,30.6,26.6,80,away,R,Justin Verlander,DET,location
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,osi_tier
10.35,8.6,3.6,1.01,,12.9,10.8,8.28,4,5,26.1,97,36.1,453286,43,26.7,36.7,43.5,77.8,Low,R,Max Scherzer,TOR,osi_tier
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,abq_tier
13.5,10.89,5.14,1.01,,15.5,12.7,9.45,3.5,4,25.7,101,38,453286,39.3,29.1,38.2,47.7,78.8,Low,R,Max Scherzer,TOR,abq_tier
3,3.27,0,1.01,,4.5,4.5,3.6,6,1,27.7,80.9,28.7,453286,57.7,17.1,30.6,26.6,74,Mid,R,Max Scherzer,TOR,abq_tier
20.77,11.87,6.23,1.01,,20.8,12.5,12.6,2.17,2,72.8,116.4,53.9,453286,56.2,66.5,68.4,79.2,52,High,R,Max Scherzer,TOR,rcv_tier
7.64,7.85,3.06,1.01,,11.5,10.3,6.75,4.42,4,21.2,93.2,33.7,453286,43.9,24.9,33.2,35.1,80.2,Low,R,Max Scherzer,TOR,rcv_tier
9,9.1,4.5,1.01,,22.2,11.1,10.8,2,1,100,120.6,62,453286,73,99.1,86.3,81.4,36,High,R,Max Scherzer,TOR,obr_tier
10.35,8.6,3.6,1.01,,12.9,10.8,8.28,4,5,26.1,97,36.1,453286,43,26.7,36.7,43.5,77.8,Low,R,Max Scherzer,TOR,obr_tier
10.23,8.65,3.68,1.01,,13.7,10.8,8.7,3.67,6,38.4,100.9,40.4,453286,48,38.8,44.9,49.8,70.8,R,R,Max Scherzer,TOR,hand
3,3.27,0,1.01,,4.5,4.5,3.6,6,1,27.7,80.9,28.7,453286,57.7,17.1,30.6,26.6,74,away,R,Max Scherzer,TOR,location
12.94,10.66,5.06,1.01,,16.2,12.5,9.72,3.2,5,40.5,104.9,42.8,453286,46.1,43.1,47.8,54.4,70.2,home,R,Max Scherzer,TOR,location
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,osi_tier
5.06,4.88,1.12,0.85,,12.4,9.5,4.63,4.57,7,40.3,95,40.2,500779,39.9,33.2,37.8,41.6,74.9,Low,R,Jose Quintana,COL,osi_tier
7.2,8.5,3.6,0.85,,4,4,9,5,1,100,120.6,62,500779,51.8,70.4,61.3,57.8,90,High,R,Jose Quintana,COL,abq_tier
3.63,4.89,1.04,0.85,,13,11,3.6,4.95,7,46.1,100.1,45.4,500779,37.1,40.8,43.3,50.7,80.6,Low,R,Jose Quintana,COL,abq_tier
40.5,3.1,0,0.85,,0,0,12.6,1.33,1,27.7,80.9,28.7,500779,57.7,17.1,30.6,26.6,33,Mid,R,Jose Quintana,COL,abq_tier
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,rcv_tier
6,4.16,1,0.85,,14.3,6.5,5.4,4.5,4,39.5,89,34.2,500779,40.5,32.1,34.9,34,71.5,Low,R,Jose Quintana,COL,rcv_tier
3.86,5.81,1.29,0.85,,10,13.3,3.6,4.67,3,41.4,102.9,48.2,500779,39.1,34.7,41.7,51.7,79.3,Mid,R,Jose Quintana,COL,rcv_tier
6,6.66,2,0.85,,6.8,9.1,7.2,4.5,2,84.1,118.6,63.6,500779,44.7,70.4,65.2,74,81.5,High,R,Jose Quintana,COL,obr_tier
5.06,4.88,1.12,0.85,,12.4,9.5,4.63,4.57,7,40.3,95,40.2,500779,39.9,33.2,37.8,41.6,74.9,Low,R,Jose Quintana,COL,obr_tier
5.27,5.27,1.32,0.85,,11,9.4,5.2,4.56,9,50.1,100.2,45.4,500779,41,41.5,43.9,48.8,76.3,R,R,Jose Quintana,COL,hand
6.75,5.51,0.96,0.85,,11.6,15.1,5.76,3.73,5,43.9,98.7,44,500779,44.7,41.6,47.1,55,68.8,away,R,Jose Quintana,COL,location
4.03,5.07,1.61,0.85,,10.5,4.2,4.5,5.58,4,57.8,102.2,47.1,500779,36.3,41.3,39.9,41.1,85.8,home,R,Jose Quintana,COL,location
12.46,5.87,2.08,0.89,,20.8,12.5,10.8,4.33,1,75.9,106.2,58.7,518876,62.7,75.3,65.4,55.9,92,High,R,Merrill Kelly,ARI,osi_tier
3.35,4.41,1.18,0.89,,12.9,5.4,3.86,6.52,7,34,100.5,33,518876,40.7,33.1,42.1,53.6,90.9,Low,R,Merrill Kelly,ARI,osi_tier
7.85,7.85,2.95,0.89,,13.6,12.4,7.97,5.24,7,62.7,107.2,56.1,518876,58.1,60.1,60.7,63.1,93.9,Mid,R,Merrill Kelly,ARI,osi_tier
6.75,7.6,2.81,0.89,,13.2,11.8,6.6,5.33,3,58.2,111.1,48.8,518876,73.6,59.8,60.3,51.4,96.3,High,R,Merrill Kelly,ARI,abq_tier
5.07,5.7,1.94,0.89,,13.8,7.7,5.76,6.03,10,44.2,101.9,42.7,518876,42,41.8,48.5,60.7,90.8,Low,R,Merrill Kelly,ARI,abq_tier
7.84,4.75,0.87,0.89,,14,12,8.1,5.17,2,68,104.1,54.1,518876,56.8,65,59.7,55.8,94,Mid,R,Merrill Kelly,ARI,abq_tier
7.16,6.71,2.6,0.89,,15.7,9.4,7.92,5.53,5,57.3,104.5,54.9,518876,45.2,48,56.6,74.7,90.6,High,R,Merrill Kelly,ARI,rcv_tier
4.28,5.44,1.98,0.89,,14.4,5.4,4.95,6.83,4,29.4,98.9,28.3,518876,47.5,34,39.9,41.1,94.2,Low,R,Merrill Kelly,ARI,rcv_tier
5.68,5.69,1.42,0.89,,11.4,11.4,5.7,5.28,6,58.2,107,49,518876,56.4,58.6,57.1,55.8,92.5,Mid,R,Merrill Kelly,ARI,rcv_tier
6.86,6.35,1.83,0.89,,15.5,14.4,6.75,4.92,4,66.5,108.5,61.1,518876,61.1,70.9,63.8,57.6,93.5,High,R,Merrill Kelly,ARI,obr_tier
3.83,5.02,1.57,0.89,,12.7,5.6,4.27,6.46,8,35.4,102,32.4,518876,45.9,33.7,43.5,53.1,91.1,Low,R,Merrill Kelly,ARI,obr_tier
10.57,8.51,3.52,0.89,,14.3,11.7,10.8,5.11,3,67.8,103.3,59.3,518876,47.7,58.3,60.6,72.6,94,Mid,R,Merrill Kelly,ARI,obr_tier
5.71,5.94,1.97,0.89,,13.7,9,6.24,5.78,15,50.2,104,45.5,518876,50.3,48.5,52.3,58.2,92.3,R,R,Merrill Kelly,ARI,hand
4.67,5.66,1.5,0.89,,10.3,9.9,5.2,6,9,48.5,106.1,44,518876,52.8,49.2,51.9,54.4,93.1,away,R,Merrill Kelly,ARI,location
7.44,6.41,2.76,0.89,,18.7,7.7,7.8,5.44,6,52.7,100.9,47.7,518876,46.6,47.5,53,63.8,91.2,home,R,Merrill Kelly,ARI,location
1.38,2.25,0.69,0.62,,28.8,3.8,1.8,6.5,2,87.9,113.4,60.4,519242,66.2,85.1,74,67,101,High,R,Chris Sale,ATL,osi_tier
2.78,2.88,0.97,0.62,,29,6.3,2.62,5.88,11,29.1,96.6,37.3,519242,39.8,27.4,36.5,44.7,95.3,Low,R,Chris Sale,ATL,osi_tier
1.04,1.77,0,0.62,,26.8,7,1.2,5.78,3,62,103.1,61.3,519242,55.9,57.7,58.4,60.9,97.3,Mid,R,Chris Sale,ATL,osi_tier
1.42,2.15,0.71,0.62,,28,2,1.8,6.33,2,82.2,115.5,60.5,519242,69,82.3,72.9,64.9,101.5,High,R,Chris Sale,ATL,abq_tier
2.64,2.84,0.97,0.62,,29.4,6,2.45,5.88,11,33.6,97.5,38.3,519242,38.6,32,39.5,48.8,94.8,Low,R,Chris Sale,ATL,abq_tier
1.53,2.02,0,0.62,,26,9.1,1.8,5.89,3,49.4,98.5,57.6,519242,58.3,42.7,48.3,47.3,98.7,Mid,R,Chris Sale,ATL,abq_tier
2.19,2.29,0.73,0.62,,26.8,2.1,2.25,6.17,4,64.4,107.9,48.6,519242,49.5,55.2,60.3,73.9,94.5,High,R,Chris Sale,ATL,rcv_tier
3.35,3.36,1.18,0.62,,28.6,8,3.15,5.71,8,23.7,94.1,36.3,519242,38.1,25,32.6,37.3,97.4,Low,R,Chris Sale,ATL,rcv_tier
0.36,1.48,0,0.62,,30.2,6.2,0.45,6.17,4,58.7,103.7,57.7,519242,58.6,56,55.8,53.7,96.2,Mid,R,Chris Sale,ATL,rcv_tier
0.96,1.92,0.48,0.62,,29.3,4,1.2,6.22,3,80.1,112.4,59.9,519242,66.3,79.3,69.8,61.4,101,High,R,Chris Sale,ATL,obr_tier
2.55,2.86,0.89,0.62,,28.8,6.8,2.4,5.89,12,30.9,96.4,39.6,519242,41.4,28.8,37.7,45.3,94.7,Low,R,Chris Sale,ATL,obr_tier
3.18,1.51,0,0.62,,24,4,3.6,5.67,1,71.3,105.4,60.7,519242,41.3,61.1,63.1,81,103,Mid,R,Chris Sale,ATL,obr_tier
2.27,2.59,0.76,0.62,,28.6,6.1,2.25,5.94,16,42.6,100,44.7,519242,46.1,40.3,45.3,50.5,96.4,R,R,Chris Sale,ATL,hand
2.96,2.22,0.74,0.62,,31.8,5.5,3.38,6.08,8,41,101.4,41.9,519242,42.3,39.8,44.8,52.3,96.4,away,R,Chris Sale,ATL,location
1.55,2.99,0.78,0.62,,25.1,6.8,1.12,5.79,8,44.3,98.5,47.5,519242,49.9,40.7,45.8,48.8,96.4,home,R,Chris Sale,ATL,location
5.4,2.3,0,0.69,,25,10,5.4,5,1,68.3,116.5,65.2,527048,36.5,68.3,67.1,87.5,85,High,R,Martin Perez,ATL,osi_tier
3.75,4.51,1.07,0.69,,18,10.9,3.42,5.03,10,38.2,93.5,39.5,527048,42.4,36.3,41.3,46.3,81.9,Low,R,Martin Perez,ATL,osi_tier
3.24,4.96,1.08,0.69,,11.4,10,3.6,5.56,3,65.6,105,58.7,527048,54.2,58.2,57.6,59.4,84.3,Mid,R,Martin Perez,ATL,osi_tier
1.5,2.43,0,0.69,,20,8,1.8,6,1,64.5,110.3,58.9,527048,66.4,67.6,61.2,50,82,High,R,Martin Perez,ATL,abq_tier
3.37,4.31,0.96,0.69,,18.9,11.2,3.27,5.09,11,45,97.6,45.4,527048,40.9,42.5,46.2,54.4,83.2,Low,R,Martin Perez,ATL,abq_tier
7.2,6.5,1.8,0.69,,4.7,9.3,6.3,5,2,43.9,91.5,39.1,527048,53.5,35.2,41.5,40.3,80,Mid,R,Martin Perez,ATL,abq_tier
3.37,2.91,0,0.69,,16.7,9.5,3.6,5.33,2,70.2,109.6,66.5,527048,41.7,61,63.1,80.8,85.5,High,R,Martin Perez,ATL,rcv_tier
3.52,4.63,0.88,0.69,,11.2,9.6,3.3,5.11,6,35.7,88.7,36.6,527048,43.2,35.1,38.4,38.9,80.7,Low,R,Martin Perez,ATL,rcv_tier
4.11,4.83,1.47,0.69,,22.4,11.9,3.9,5.11,6,48.8,102.6,47.3,527048,46.8,45.5,49.3,55.6,83.7,Mid,R,Martin Perez,ATL,rcv_tier
3.27,2.37,0,0.69,,22.2,8.9,3.6,5.5,2,66.4,113.4,62,527048,51.5,68,64.1,68.7,83.5,High,R,Martin Perez,ATL,obr_tier
3.77,4.27,0.99,0.69,,18.8,10.5,3.4,5.04,9,37.3,94.7,39.3,527048,42.7,34.5,41.4,48.3,82,Low,R,Martin Perez,ATL,obr_tier
4.02,6.48,1.72,0.69,,7.7,12.3,4.2,5.22,3,59.6,96,52.8,527048,45.3,53,50.8,52.3,84,Mid,R,Martin Perez,ATL,obr_tier
3.75,4.46,1,0.69,,16.9,10.6,3.6,5.14,14,46.2,97.6,45.5,527048,44.5,43.3,46.6,52.1,82.6,R,R,Martin Perez,ATL,hand
4,4.04,1,0.69,,19.9,9.3,3.34,5.14,7,37.9,93.2,41,527048,42.3,37.5,41.7,46.1,80.7,away,R,Martin Perez,ATL,location
3.5,4.88,1,0.69,,14,12,3.86,5.14,7,54.6,102,49.9,527048,46.7,49,51.6,58,84.6,home,R,Martin Perez,ATL,location
6.38,5.6,2.62,0.75,,20.5,4.5,5.76,4.8,5,33.1,97.7,36.7,543037,42.5,26.5,37,45.2,86.4,Low,R,Gerrit Cole,NYY,osi_tier
0.96,2.67,0.48,0.75,,26.5,7.4,0.6,6.22,3,55.7,103.9,51.2,543037,59.4,46.4,54,58.8,80.3,Mid,R,Gerrit Cole,NYY,osi_tier
0,3.93,0,0.75,,9.1,13.6,0,6,1,45.7,112.6,28.6,543037,77.4,35.8,50,46.7,72,High,R,Gerrit Cole,NYY,abq_tier
5.7,5.33,2.4,0.75,,21.5,5.2,5.1,5,6,39.5,99,40.7,543037,41.9,31.7,40.8,50.4,87,Low,R,Gerrit Cole,NYY,abq_tier
0,0.1,0,0.75,,43.5,0,0,6.67,1,50.1,93.6,64.3,543037,61.8,45.9,52.4,53.2,79,Mid,R,Gerrit Cole,NYY,abq_tier
3.27,3.65,1.64,0.75,,30.2,4.7,2.7,5.5,2,58.5,108.8,53.2,543037,37.7,44.5,53.1,73.8,89,High,R,Gerrit Cole,NYY,rcv_tier
4.35,6,2.18,0.75,,14.4,7.8,4.05,5.17,4,30,97.4,31.8,543037,53.2,26.2,36.4,36.1,81.8,Low,R,Gerrit Cole,NYY,rcv_tier
4.09,1.83,0.82,0.75,,31.9,2.1,4.5,5.5,2,47.9,96.6,51.6,543037,51.1,38.8,47.6,55.2,84,Mid,R,Gerrit Cole,NYY,rcv_tier
4.17,4.33,1.72,0.75,,22.3,5.1,4.11,5.24,7,37.3,99.3,39.5,543037,50.2,30.6,41.1,46.6,83.3,Low,R,Gerrit Cole,NYY,obr_tier
3,4.27,1.5,0.75,,26.1,8.7,1.8,6,1,71.3,105.4,60.7,543037,39,57.6,59.5,76.4,90,Mid,R,Gerrit Cole,NYY,obr_tier
4.01,4.32,1.69,0.75,,22.8,5.6,3.82,5.33,8,41.6,100,42.1,543037,48.8,34,43.4,50.3,84.1,R,R,Gerrit Cole,NYY,hand
4.87,3.25,1.33,0.75,,26.1,4.3,4.95,5.08,4,35.6,93.5,41.7,543037,48,31,39,41.7,85,away,R,Gerrit Cole,NYY,location
3.22,5.29,2.01,0.75,,19.3,6.8,2.7,5.58,4,47.6,106.5,42.6,543037,49.6,36.9,47.8,58.9,83.2,home,R,Gerrit Cole,NYY,location
3.86,4.21,1.81,0.73,,26.1,5.2,4.8,6.22,12,34.5,99.4,37.4,543135,37.9,30.2,39.2,50.3,90.3,Low,R,Nathan Eovaldi,TEX,osi_tier
4.4,3.62,1.17,0.73,,23.1,6.2,3.6,6.13,5,61.8,102.6,68.9,543135,45.9,60.4,57.9,63.7,94.4,Mid,R,Nathan Eovaldi,TEX,osi_tier
4.05,4.21,1.77,0.73,,25.6,5.3,5.01,6.19,14,42.2,101,45,543135,36.8,39.5,44.4,55.5,91.6,Low,R,Nathan Eovaldi,TEX,abq_tier
3.86,3.26,0.96,0.73,,23.8,6.2,1.8,6.22,3,44.1,97.1,54.5,543135,56.1,37.2,45.9,48.7,91,Mid,R,Nathan Eovaldi,TEX,abq_tier
3.66,4.32,1.69,0.73,,23.6,5.5,4.68,6.4,5,57.9,104.2,59.2,543135,39.4,54.8,55.5,67.9,92.2,High,R,Nathan Eovaldi,TEX,rcv_tier
3.86,3.92,1.75,0.73,,27.2,3.9,4.5,6.42,4,22.2,93.4,37.5,543135,37.9,18.7,29.9,37,90.8,Low,R,Nathan Eovaldi,TEX,rcv_tier
4.34,3.92,1.51,0.73,,25.2,6.3,4.27,5.96,8,43,101.3,43.4,543135,41.9,39.5,45.3,54.4,91.5,Mid,R,Nathan Eovaldi,TEX,rcv_tier
3.32,2.99,0.95,0.73,,26.3,5.3,4.2,6.33,3,66.3,105.8,76.9,543135,38.9,67.2,61.1,69.9,97,High,R,Nathan Eovaldi,TEX,obr_tier
4.03,4.33,1.79,0.73,,25.2,5.8,4.57,6.18,13,35.7,98.9,39.5,543135,39.7,31.4,40.2,50.6,90.2,Low,R,Nathan Eovaldi,TEX,obr_tier
6,3.43,1.5,0.73,,22.6,3.2,3.6,6,1,60.1,102,49.5,543135,50.8,54.8,54,55.6,93,Mid,R,Nathan Eovaldi,TEX,obr_tier
4.02,4.04,1.62,0.73,,25.2,5.5,4.45,6.2,17,42.5,100.3,46.6,543135,40.2,39.1,44.7,54.3,91.5,R,R,Nathan Eovaldi,TEX,hand
3.69,3.69,1.32,0.73,,24.2,5.6,3.76,6.21,11,40.9,99.6,46.3,543135,42.2,38.8,44.6,52.9,91.5,away,R,Nathan Eovaldi,TEX,location
4.62,4.69,2.19,0.73,,27.2,5.3,5.7,6.17,6,45.6,101.6,47.4,543135,36.6,39.7,44.9,56.8,91.7,home,R,Nathan Eovaldi,TEX,location
3.11,3.68,1.13,0.66,,22.7,6.5,3.6,5.31,12,34.4,98.4,41.7,543243,37.5,29.5,37.5,46.6,79.6,Low,R,Sonny Gray,BOS,osi_tier
1.38,3.02,0.69,0.66,,23.2,6.1,1.35,6.5,4,63.1,103.5,71.5,543243,48.9,60.1,57,59.2,86.5,Mid,R,Sonny Gray,BOS,osi_tier
0,3.42,0,0.66,,8.3,8.3,0,6.33,1,64.5,110.3,58.9,543243,61.1,62.1,56.2,46,90,High,R,Sonny Gray,BOS,abq_tier
2.82,3.48,1.02,0.66,,23.6,6.7,3.46,5.41,13,40.7,99.6,47.2,543243,36.4,36.7,41.6,51,80.2,Low,R,Sonny Gray,BOS,abq_tier
2.77,3.56,1.38,0.66,,25.5,3.9,1.8,6.5,2,36.1,94.7,57,543243,55.7,27.8,40.2,43.2,84.5,Mid,R,Sonny Gray,BOS,abq_tier
4.57,4.76,1.66,0.66,,18.5,6.5,4.95,5.42,4,57.3,108.7,63.5,543243,36.5,48.8,53.2,70.1,86,High,R,Sonny Gray,BOS,rcv_tier
2.36,3.5,1.29,0.66,,28.3,6.6,3.09,6,7,27.4,95.3,37.5,543243,37.7,27.8,33.4,36.9,84.3,Low,R,Sonny Gray,BOS,rcv_tier
1.38,2.41,0,0.66,,17.8,5.9,1.44,5.2,5,48.9,98.7,53.9,543243,47,41.1,46.1,51.3,73.4,Mid,R,Sonny Gray,BOS,rcv_tier
1.35,3.75,0.9,0.66,,18.7,6.7,1.8,6.67,3,67.5,106.8,73.8,543243,44.6,64.8,58.5,61.1,88.7,High,R,Sonny Gray,BOS,obr_tier
2.74,3.34,0.96,0.66,,23.9,6.4,2.85,5.47,12,34.7,99.3,43.6,543243,39.3,29,38.4,48.6,79.6,Low,R,Sonny Gray,BOS,obr_tier
6.75,4.6,2.25,0.66,,25,5,9,4,1,46.6,83.5,41.2,543243,39.9,52,40.8,28.8,80,Mid,R,Sonny Gray,BOS,obr_tier
2.61,3.49,1,0.66,,22.8,6.4,3.04,5.6,16,41.6,99.7,49.1,543243,40.3,37.2,42.3,49.7,81.3,R,R,Sonny Gray,BOS,hand
3.05,4.14,1.42,0.66,,23.8,7.9,3.6,5.54,8,39.1,98.1,44.7,543243,41.3,38.3,43.1,49.8,82.1,away,R,Sonny Gray,BOS,location
2.18,2.86,0.6,0.66,,21.8,4.7,2.48,5.67,8,44.1,101.2,53.6,543243,39.4,36,41.6,49.6,80.5,home,R,Sonny Gray,BOS,location
3.91,2.98,0.71,0.93,,23.1,6.5,3.6,5.07,5,77.7,113.2,62,547179,45,64.3,58.7,61.9,87.2,High,R,Michael Lorenzen,COL,osi_tier
8.3,5.35,1.66,0.93,,13.9,8.3,8.03,4.59,13,37.2,95.8,39.1,547179,36.8,29,35.8,42.9,87.7,Low,R,Michael Lorenzen,COL,osi_tier
5.4,2.5,0,0.93,,13.6,4.5,5.4,5,1,100,120.6,62,547179,51.8,70.4,61.3,57.8,88,High,R,Michael Lorenzen,COL,abq_tier
7.46,4.84,1.34,0.93,,14.1,8.1,7.06,4.64,13,43.4,101.3,44.7,547179,34.2,36.1,40.9,51.3,86.2,Low,R,Michael Lorenzen,COL,abq_tier
5.95,4.57,1.83,0.93,,24.2,7.7,6.3,4.92,4,51.8,93.6,43.7,547179,51.9,39.8,41.4,35.6,92,Mid,R,Michael Lorenzen,COL,abq_tier
5.11,3.06,0.36,0.93,,14.5,5.5,4.32,4.93,5,64.6,113.9,55.4,547179,37.6,48.8,52.6,67.8,85,High,R,Michael Lorenzen,COL,rcv_tier
10.8,6.25,2.43,0.93,,15.9,8.2,10.03,4.76,7,34,87.6,34.1,547179,37.2,28.3,32.4,33.6,88.4,Low,R,Michael Lorenzen,COL,rcv_tier
4,4.1,1,0.93,,18.5,9.2,5.1,4.5,6,51.8,104.8,50.3,547179,42.5,42.8,44.8,48.9,88.7,Mid,R,Michael Lorenzen,COL,rcv_tier
3.91,2.98,0.71,0.93,,23.1,6.5,3.6,5.07,5,77.7,113.2,62,547179,45,64.3,58.7,61.9,87.2,High,R,Michael Lorenzen,COL,obr_tier
8.45,5.11,1.49,0.93,,13.3,7.9,8.25,4.53,12,36.4,96.8,38.9,547179,36.6,27.1,35.4,44.1,87.9,Low,R,Michael Lorenzen,COL,obr_tier
6.75,7.79,3.38,0.93,,21.7,13,5.4,5.33,1,46.6,83.5,41.2,547179,39.9,52,40.8,28.8,85,Mid,R,Michael Lorenzen,COL,obr_tier
6.99,4.64,1.38,0.93,,16.3,7.8,6.8,4.72,18,48.4,100.6,45.4,547179,39.1,38.8,42.2,48.2,87.6,R,R,Michael Lorenzen,COL,hand
5.82,4.23,1.45,0.93,,17.7,4.9,6.4,4.81,9,45.7,99,43.5,547179,43.4,42.9,46.8,53.8,87.1,away,R,Michael Lorenzen,COL,location
8.21,5.07,1.3,0.93,,15,10.6,7.2,4.63,9,51.2,102.3,47.3,547179,34.8,34.7,37.5,42.6,88,home,R,Michael Lorenzen,COL,location
4.08,4.8,2.55,0.58,,30.6,4.2,4.8,5.89,3,78.9,117.9,64.1,554430,48.1,77.8,72.8,84.7,97.3,High,R,Zack Wheeler,PHI,osi_tier
1.88,2.76,0.58,0.58,,26.3,7.2,1.26,6.23,10,37.3,95.4,43.3,554430,43.7,33.7,40.5,46.1,96.1,Low,R,Zack Wheeler,PHI,osi_tier
6,10.93,6,0.58,,17.4,4.3,7.2,6,1,100,120.6,62,554430,71.5,97.1,84.6,79.8,90,High,R,Zack Wheeler,PHI,abq_tier
2.12,2.5,0.53,0.58,,28.7,7.3,1.8,6.18,11,44.3,99.2,46.7,554430,41.3,42.1,46.2,54.4,97,Low,R,Zack Wheeler,PHI,abq_tier
1.5,3.6,1.5,0.58,,20.8,0,0,6,1,22.1,95.7,49.7,554430,55.6,10.8,31.3,37.2,96,Mid,R,Zack Wheeler,PHI,abq_tier
4.12,4.68,2.25,0.58,,26.8,4.1,4.5,6,4,70.5,113.9,56.3,554430,45.8,67.1,66,79.3,97.5,High,R,Zack Wheeler,PHI,rcv_tier
1.41,2.69,0.56,0.58,,22.5,4.2,0.72,6.4,5,31.2,90.4,36.3,554430,45.1,29.3,35.3,35.2,96.8,Low,R,Zack Wheeler,PHI,rcv_tier
1.88,2.43,0.38,0.58,,34.1,12.1,1.35,6,4,42.9,100,54.6,554430,43.2,38.9,45.7,55.5,94.8,Mid,R,Zack Wheeler,PHI,rcv_tier
4.08,4.8,2.55,0.58,,30.6,4.2,4.8,5.89,3,78.9,117.9,64.1,554430,48.1,77.8,72.8,84.7,97.3,High,R,Zack Wheeler,PHI,obr_tier
1.88,2.76,0.58,0.58,,26.3,7.2,1.26,6.23,10,37.3,95.4,43.3,554430,43.7,33.7,40.5,46.1,96.1,Low,R,Zack Wheeler,PHI,obr_tier
2.36,3.21,1.01,0.58,,27.3,6.5,2.08,6.15,13,46.9,100.6,48.1,554430,44.7,43.9,48,55,96.4,R,R,Zack Wheeler,PHI,hand
2.03,3.3,1.02,0.58,,24,4.8,2.06,6.33,7,48.8,101.5,48.7,554430,48.6,46.9,49.9,54.2,92.4,away,R,Zack Wheeler,PHI,location
2.78,3.1,1.01,0.58,,31.2,8.5,2.1,5.94,6,44.6,99.5,47.4,554430,40.1,40.4,45.8,55.9,101,home,R,Zack Wheeler,PHI,location
3.9,3.3,0.9,0.76,,23.4,7,3.9,5,6,32.7,90.4,45.2,571510,38,30.8,37.6,45.1,86.5,Low,R,Matthew Boyd,CHC,osi_tier
14.73,3.65,2.45,0.76,,41.2,5.9,12.6,3.67,1,72.1,102.6,67.8,571510,45.9,52.7,58,72.8,63,Mid,R,Matthew Boyd,CHC,osi_tier
5.53,3.17,0.98,0.76,,26,7.3,5.4,4.61,6,40.1,94,51.7,571510,36.5,36.8,42.4,53,81.3,Low,R,Matthew Boyd,CHC,abq_tier
3,4.1,1.5,0.76,,22.7,4.5,3.6,6,1,27.7,80.9,28.7,571510,55,16.3,29.1,25.3,94,Mid,R,Matthew Boyd,CHC,abq_tier
14.73,3.65,2.45,0.76,,41.2,5.9,12.6,3.67,1,72.1,102.6,67.8,571510,45.9,52.7,58,72.8,63,High,R,Matthew Boyd,CHC,rcv_tier
2.14,2.43,0.43,0.76,,29.3,8.5,1.8,5.25,4,29.9,90.3,33.7,571510,37.5,25.9,34,40.7,88,Low,R,Matthew Boyd,CHC,rcv_tier
8,5.32,2,0.76,,13,4.3,8.1,4.5,2,38.4,90.5,68.3,571510,39,40.5,44.8,53.9,83.5,Mid,R,Matthew Boyd,CHC,rcv_tier
3.9,3.3,0.9,0.76,,23.4,7,3.9,5,6,32.7,90.4,45.2,571510,38,30.8,37.6,45.1,86.5,Low,R,Matthew Boyd,CHC,obr_tier
14.73,3.65,2.45,0.76,,41.2,5.9,12.6,3.67,1,72.1,102.6,67.8,571510,45.9,52.7,58,72.8,63,Mid,R,Matthew Boyd,CHC,obr_tier
5.08,3.34,1.07,0.76,,25.5,6.9,5.14,4.81,7,38.4,92.1,48.5,571510,39.2,33.9,40.5,49,83.1,R,R,Matthew Boyd,CHC,hand
5.19,3.33,0,0.76,,18.6,14,5.4,4.33,2,41.1,89.1,51.2,571510,41.6,44.3,45.4,49.7,83.5,away,R,Matthew Boyd,CHC,location
5.04,3.34,1.44,0.76,,28.4,3.9,5.04,5,5,37.3,93.3,47.4,571510,38.2,29.7,38.5,48.8,83,home,R,Matthew Boyd,CHC,location
3.72,3.1,0.93,0.83,,25.6,7,2.7,4.83,2,72.1,111.4,62,571578,50.5,73.6,68,73.9,92.5,High,R,Patrick Corbin,TOR,osi_tier
