team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
PIT,KC,Knuckle Curve,64,59,15,22,4,1,20,2,31.25,6.25,0.25424,0.3125,0.37288,0.11864,0.30672,3.125,2026-05-03,2026-08-31
PIT,SI,Sinker,674,574,173,229,74,22,103,6,15.2819,10.97923,0.30139,0.39911,0.39895,0.09756,0.35976,0.89021,2026-05-03,2026-08-31
PIT,SL,Slider,521,466,109,205,41,8,169,25,32.43762,7.86948,0.23391,0.30385,0.43991,0.20601,0.3255,4.79846,2026-05-03,2026-08-31
PIT,ST,Sweeper,350,314,62,101,27,7,106,8,30.28571,7.71429,0.19745,0.27429,0.32166,0.1242,0.26914,2.28571,2026-05-03,2026-08-31
PIT,SV,Slurve,22,20,4,6,2,0,10,0,45.45455,9.09091,0.2,0.27273,0.3,0.1,0.25909,0.0,2026-05-03,2026-08-31
SDP,CH,Changeup,416,391,81,131,20,3,104,11,25.0,4.80769,0.20716,0.2506,0.33504,0.12788,0.25973,2.64423,2026-05-03,2026-08-31
SDP,CU,Curveball,195,179,41,64,13,2,55,5,28.20513,6.66667,0.22905,0.28718,0.35754,0.12849,0.28505,2.5641,2026-05-03,2026-08-31
SDP,EP,Eephus,15,13,6,13,1,1,0,2,0.0,6.66667,0.46154,0.53333,1.0,0.53846,0.63667,13.33333,2026-05-03,2026-08-31
SDP,FA,Fastball,2,2,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
SDP,FC,Cutter,334,284,71,110,44,0,47,7,14.07186,13.17365,0.25,0.34743,0.38732,0.13732,0.32879,2.09581,2026-05-03,2026-08-31
SDP,FF,4-Seam Fastball,1184,1010,255,425,142,9,244,38,20.60811,11.99324,0.25248,0.34612,0.42079,0.16832,0.33917,3.20946,2026-05-03,2026-08-31
SDP,FS,Splitter,132,123,23,35,9,0,43,3,32.57576,6.81818,0.18699,0.24242,0.28455,0.09756,0.23826,2.27273,2026-05-03,2026-08-31
SDP,KC,Knuckle Curve,60,59,13,18,0,1,18,1,30.0,0.0,0.22034,0.23333,0.30508,0.08475,0.23767,1.66667,2026-05-03,2026-08-31
SDP,SI,Sinker,759,664,178,250,75,11,106,16,13.96574,9.88142,0.26807,0.34967,0.37651,0.10843,0.32654,2.10804,2026-05-03,2026-08-31
SDP,SL,Slider,499,455,99,182,35,6,131,21,26.25251,7.01403,0.21758,0.28056,0.4,0.18242,0.299,4.20842,2026-05-03,2026-08-31
SDP,ST,Sweeper,322,291,63,123,20,9,101,17,31.36646,6.21118,0.21649,0.28571,0.42268,0.20619,0.31044,5.2795,2026-05-03,2026-08-31
SDP,SV,Slurve,22,22,5,6,0,0,6,0,27.27273,0.0,0.22727,0.22727,0.27273,0.04545,0.21955,0.0,2026-05-03,2026-08-31
SEA,CH,Changeup,470,430,87,151,32,5,109,16,23.19149,6.80851,0.20233,0.26383,0.35116,0.14884,0.27351,3.40426,2026-05-03,2026-08-31
SEA,CU,Curveball,203,183,39,71,14,5,68,7,33.49754,6.89655,0.21311,0.28571,0.38798,0.17486,0.29847,3.44828,2026-05-03,2026-08-31
SEA,EP,Eephus,6,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
SEA,FA,Fastball,5,5,2,2,0,0,0,0,0.0,0.0,0.4,0.4,0.4,0.0,0.356,0.0,2026-05-03,2026-08-31
SEA,FC,Cutter,324,293,74,116,24,4,48,11,14.81481,7.40741,0.25256,0.31579,0.3959,0.14334,0.31579,3.39506,2026-05-03,2026-08-31
SEA,FF,4-Seam Fastball,1134,978,227,386,127,18,268,41,23.63316,11.19929,0.23211,0.3295,0.39468,0.16258,0.32407,3.61552,2026-05-03,2026-08-31
SEA,FS,Splitter,129,116,23,39,10,2,31,4,24.03101,7.75194,0.19828,0.27132,0.33621,0.13793,0.2724,3.10078,2026-05-03,2026-08-31
SEA,KC,Knuckle Curve,61,54,7,11,7,0,26,1,42.62295,11.47541,0.12963,0.22951,0.2037,0.07407,0.20738,1.63934,2026-05-03,2026-08-31
SEA,SI,Sinker,714,627,155,213,63,20,97,11,13.58543,8.82353,0.24721,0.33474,0.33971,0.0925,0.30741,1.54062,2026-05-03,2026-08-31
SEA,SL,Slider,485,455,95,167,23,3,146,17,30.10309,4.74227,0.20879,0.25,0.36703,0.15824,0.27074,3.50515,2026-05-03,2026-08-31
SEA,ST,Sweeper,295,264,57,102,22,4,93,11,31.52542,7.45763,0.21591,0.28231,0.38636,0.17045,0.29466,3.72881,2026-05-03,2026-08-31
SEA,SV,Slurve,20,19,6,13,0,1,8,2,40.0,0.0,0.31579,0.35,0.68421,0.36842,0.443,10.0,2026-05-03,2026-08-31
SFG,CH,Changeup,423,392,88,138,23,3,97,8,22.93144,5.43735,0.22449,0.27014,0.35204,0.12755,0.27361,1.89125,2026-05-03,2026-08-31
SFG,CS,Slow Curve,1,1,0,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
SFG,CU,Curveball,204,184,44,79,14,2,49,9,24.01961,6.86275,0.23913,0.29703,0.42935,0.19022,0.31777,4.41176,2026-05-03,2026-08-31
SFG,EP,Eephus,8,8,4,4,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
SFG,FA,Fastball,17,16,5,16,1,0,1,3,5.88235,5.88235,0.3125,0.35294,1.0,0.6875,0.56059,17.64706,2026-05-03,2026-08-31
SFG,FC,Cutter,315,279,75,137,29,1,39,14,12.38095,9.20635,0.26882,0.33546,0.49104,0.22222,0.3577,4.44444,2026-05-03,2026-08-31
SFG,FF,4-Seam Fastball,1279,1122,283,510,130,10,289,49,22.59578,10.16419,0.25223,0.33281,0.45455,0.20232,0.34424,3.83112,2026-05-03,2026-08-31
SFG,FO,Forkball,6,5,1,2,0,1,1,0,16.66667,0.0,0.2,0.33333,0.4,0.2,0.33167,0.0,2026-05-03,2026-08-31
SFG,FS,Splitter,86,80,23,40,6,0,26,4,30.23256,6.97674,0.2875,0.33721,0.5,0.2125,0.36071,4.65116,2026-05-03,2026-08-31
SFG,KC,Knuckle Curve,63,62,4,10,1,0,20,2,31.74603,1.5873,0.06452,0.07937,0.16129,0.09677,0.10587,3.1746,2026-05-03,2026-08-31
SFG,KN,Knuckleball,8,6,1,4,2,0,4,1,50.0,25.0,0.16667,0.375,0.66667,0.5,0.435,12.5,2026-05-03,2026-08-31
SFG,SI,Sinker,725,644,184,265,50,15,73,20,10.06897,6.89655,0.28571,0.3468,0.41149,0.12578,0.33599,2.75862,2026-05-03,2026-08-31
SFG,SL,Slider,549,511,111,176,29,4,156,14,28.4153,5.28233,0.21722,0.26374,0.34442,0.1272,0.26978,2.55009,2026-05-03,2026-08-31
SFG,ST,Sweeper,300,276,69,136,14,6,82,15,27.33333,4.66667,0.25,0.29866,0.49275,0.24275,0.34027,5.0,2026-05-03,2026-08-31
SFG,SV,Slurve,12,12,2,4,0,0,5,0,41.66667,0.0,0.16667,0.16667,0.33333,0.16667,0.20917,0.0,2026-05-03,2026-08-31
STL,CH,Changeup,473,437,93,153,30,3,110,11,23.25581,6.34249,0.21281,0.26638,0.35011,0.1373,0.27208,2.32558,2026-05-03,2026-08-31
STL,CS,Slow Curve,1,1,1,2,0,0,0,0,0.0,0.0,1.0,1.0,2.0,1.0,1.27,0.0,2026-05-03,2026-08-31
STL,CU,Curveball,290,262,61,100,17,7,71,9,24.48276,5.86207,0.23282,0.29514,0.38168,0.14885,0.30017,3.10345,2026-05-03,2026-08-31
STL,FA,Fastball,4,4,1,1,0,0,0,0,0.0,0.0,0.25,0.25,0.25,0.0,0.2225,0.0,2026-05-03,2026-08-31
STL,FC,Cutter,269,249,66,108,15,1,39,9,14.49814,5.57621,0.26506,0.30597,0.43373,0.16867,0.3209,3.34572,2026-05-03,2026-08-31
STL,FF,4-Seam Fastball,1131,1000,236,388,108,12,255,34,22.54642,9.54907,0.236,0.3156,0.388,0.152,0.3128,3.00619,2026-05-03,2026-08-31
STL,FS,Splitter,110,100,23,35,7,1,28,3,25.45455,6.36364,0.23,0.2844,0.35,0.12,0.2787,2.72727,2026-05-03,2026-08-31
STL,KC,Knuckle Curve,39,36,10,15,2,1,12,1,30.76923,5.12821,0.27778,0.33333,0.41667,0.13889,0.33256,2.5641,2026-05-03,2026-08-31
STL,SI,Sinker,753,649,175,236,82,15,79,13,10.49137,10.88977,0.26965,0.36267,0.36364,0.09399,0.32959,1.72643,2026-05-03,2026-08-31
STL,SL,Slider,521,476,116,171,31,7,116,10,22.26488,5.9501,0.2437,0.29615,0.35924,0.11555,0.29079,1.91939,2026-05-03,2026-08-31
STL,ST,Sweeper,317,281,61,99,21,11,82,9,25.86751,6.62461,0.21708,0.29524,0.35231,0.13523,0.29133,2.83912,2026-05-03,2026-08-31
STL,SV,Slurve,34,32,4,5,2,0,8,0,23.52941,5.88235,0.125,0.17647,0.15625,0.03125,0.15647,0.0,2026-05-03,2026-08-31
TBR,CH,Changeup,379,353,99,146,18,1,63,9,16.62269,4.74934,0.28045,0.31383,0.4136,0.13314,0.31822,2.37467,2026-05-03,2026-08-31
TBR,CS,Slow Curve,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
TBR,CU,Curveball,229,206,38,53,10,7,64,3,27.9476,4.36681,0.18447,0.24444,0.25728,0.07282,0.22964,1.31004,2026-05-03,2026-08-31
TBR,EP,Eephus,14,14,8,11,0,0,0,1,0.0,0.0,0.57143,0.57143,0.78571,0.21429,0.595,7.14286,2026-05-03,2026-08-31
TBR,FA,Fastball,2,2,1,1,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
TBR,FC,Cutter,315,279,90,126,29,2,33,7,10.47619,9.20635,0.32258,0.38782,0.45161,0.12903,0.36977,2.22222,2026-05-03,2026-08-31
TBR,FF,4-Seam Fastball,1300,1130,282,443,140,6,254,35,19.53846,10.76923,0.24956,0.33178,0.39204,0.14248,0.32145,2.69231,2026-05-03,2026-08-31
TBR,FO,Forkball,2,2,0,0,0,0,1,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-03,2026-08-31
TBR,FS,Splitter,126,119,33,44,5,1,31,2,24.60317,3.96825,0.27731,0.312,0.36975,0.09244,0.30288,1.5873,2026-05-03,2026-08-31
TBR,KC,Knuckle Curve,89,84,23,31,3,2,27,1,30.33708,3.37079,0.27381,0.31461,0.36905,0.09524,0.30438,1.1236,2026-05-03,2026-08-31
TBR,KN,Knuckleball,2,1,1,1,0,0,0,0,0.0,0.0,1.0,0.5,1.0,0.0,0.445,0.0,2026-05-03,2026-08-31
TBR,SI,Sinker,775,688,201,290,69,9,92,17,11.87097,8.90323,0.29215,0.36328,0.42151,0.12936,0.34834,2.19355,2026-05-03,2026-08-31
TBR,SL,Slider,509,465,106,198,36,3,107,23,21.02161,7.07269,0.22796,0.286,0.42581,0.19785,0.31053,4.51866,2026-05-03,2026-08-31
TBR,ST,Sweeper,180,168,41,94,7,3,49,15,27.22222,3.88889,0.24405,0.28492,0.55952,0.31548,0.35944,8.33333,2026-05-03,2026-08-31
TBR,SV,Slurve,3,3,1,1,0,0,0,0,0.0,0.0,0.33333,0.33333,0.33333,0.0,0.29667,0.0,2026-05-03,2026-08-31
TEX,CH,Changeup,505,470,110,177,29,3,123,13,24.35644,5.74257,0.23404,0.28119,0.3766,0.14255,0.28986,2.57426,2026-05-03,2026-08-31
TEX,CS,Slow Curve,3,3,1,1,0,0,1,0,33.33333,0.0,0.33333,0.33333,0.33333,0.0,0.29667,0.0,2026-05-03,2026-08-31
TEX,CU,Curveball,200,177,36,60,16,5,49,5,24.5,8.0,0.20339,0.28788,0.33898,0.13559,0.28359,2.5,2026-05-03,2026-08-31
TEX,EP,Eephus,6,5,1,1,1,0,0,0,0.0,16.66667,0.2,0.33333,0.2,0.0,0.26333,0.0,2026-05-03,2026-08-31
TEX,FA,Fastball,4,4,2,2,0,0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0.445,0.0,2026-05-03,2026-08-31
