team_abbr,pitch_name,pitch_type,pitches,pitch_pct,avg_release_speed,avg_spin_rate,avg_pfx_x,avg_pfx_z,whiff_rate,csw_rate,zone_rate,chase_rate,in_zone_swing_rate,avg_launch_speed,xwoba,batting_avg
ARI,4-Seam Fastball,FF,712,28.814245244840148,94.1379213483146,2269.2317415730336,-0.09662921348314607,1.2266011235955057,10.95890410958904,28.08988764044944,51.96629213483146,24.269005847953213,56.486486486486484,82.69698275862069,0.3647826648044693,0.1958041958041958
ARI,Sinker,SI,511,20.679886685552407,94.44951076320939,2193.0117416829744,-0.6022504892367906,0.45362035225048924,7.964601769911504,30.528375733855185,60.273972602739725,26.108374384236456,56.16883116883117,88.15027322404372,0.4039140387096774,0.2978723404255319
ARI,Changeup,CH,314,12.707405908539052,85.58662420382166,1762.2547770700637,0.16423566878980891,0.23242038216560512,20.98765432098765,21.337579617834397,36.624203821656046,38.69346733668342,73.91304347826086,83.61129032258064,0.3481056489361702,0.26881720430107525
ARI,Slider,SL,271,10.967219749089438,85.08892988929888,2479.8966789667898,0.15380073800738006,0.02044280442804428,24.166666666666668,24.354243542435423,42.435424354243544,28.205128205128204,66.08695652173913,80.54823529411765,0.2927576935483871,0.2459016393442623
ARI,Curveball,CU,222,8.984216916228247,81.1900900900901,2694.310810810811,0.09184684684684685,-0.5543243243243243,28.57142857142857,28.82882882882883,36.486486486486484,30.49645390070922,50.617283950617285,81.98867924528301,0.2545211590909091,0.3170731707317073
ARI,Cutter,FC,190,7.689194658033186,88.31,2449.705263157895,0.049842105263157896,0.34968421052631576,23.25581395348837,28.947368421052634,50.526315789473685,28.723404255319153,61.458333333333336,80.09655172413794,0.25616502380952383,0.23684210526315788
ARI,Sweeper,ST,184,7.446377984621611,82.3983695652174,2764.9021739130435,0.7989130434782609,0.11152173913043478,23.376623376623375,30.978260869565215,50.54347826086957,30.76923076923077,52.68817204301075,79.2280701754386,0.27714285714285714,0.2
ARI,Split-Finger,FS,60,2.4281667341157425,84.69,1585.6166666666666,-1.0928333333333333,0.43233333333333335,28.57142857142857,28.333333333333332,30.0,40.476190476190474,61.111111111111114,78.61578947368422,0.033133333333333334,0.0
ARI,Slurve,SV,6,0.24281667341157423,85.33333333333333,2423.6666666666665,0.77,-0.29333333333333333,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0
ARI,Unknown,UNK,1,0.04046944556859571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATH,4-Seam Fastball,FF,672,28.965517241379313,95.36309523809524,2305.3511904761904,-0.5403125,1.3425297619047618,14.95601173020528,21.279761904761905,50.297619047619044,28.443113772455092,72.7810650887574,83.31433962264151,0.34244107514450867,0.2827586206896552
ATH,Sinker,SI,419,18.060344827586206,94.42505966587112,2173.6443914081146,-0.8499761336515513,0.8199761336515513,11.737089201877934,26.730310262529834,60.859188544152744,28.04878048780488,65.49019607843137,82.5430303030303,0.3609185221238938,0.33653846153846156
ATH,Slider,SL,371,15.991379310344827,86.46819407008087,2461.633423180593,0.06161725067385444,0.1323989218328841,40.72164948453608,33.692722371967655,42.318059299191376,37.850467289719624,71.97452229299363,82.11176470588235,0.238045,0.21904761904761905
ATH,Changeup,CH,230,9.913793103448276,86.21478260869566,1763.8608695652174,-0.8556956521739131,0.41239130434782606,29.838709677419356,22.608695652173914,36.08695652173913,37.41496598639456,83.13253012048193,79.055421686747,0.2801005254237288,0.26785714285714285
ATH,Sweeper,ST,208,8.96551724137931,82.4298076923077,2691.591346153846,1.156346153846154,-0.012499999999999995,38.67924528301887,35.09615384615385,42.30769230769231,42.5,62.5,77.96166666666666,0.21813124444444446,0.11904761904761904
ATH,Cutter,FC,182,7.844827586206897,90.26208791208792,2381.3736263736264,0.08681318681318682,0.5656593406593406,36.7816091954023,35.714285714285715,52.74725274725275,25.581395348837212,67.70833333333334,84.20769230769231,0.3768898947368421,0.3
ATH,Curveball,CU,92,3.9655172413793105,80.76086956521739,2681.75,0.4971739130434783,-0.8181521739130434,46.34146341463415,30.434782608695656,33.69565217391305,32.78688524590164,67.74193548387096,81.55499999999999,0.2507168888888889,0.058823529411764705
ATH,Knuckle Curve,KC,79,3.405172413793103,84.01392405063292,2558.025316455696,0.5177215189873418,-1.0360759493670886,24.137931034482758,26.582278481012654,29.11392405063291,33.92857142857143,43.47826086956522,83.55555555555556,0.2082324705882353,0.3125
ATH,Split-Finger,FS,62,2.6724137931034484,90.23548387096774,1828.0483870967741,-0.8770967741935485,0.32790322580645165,53.125,43.54838709677419,56.451612903225815,33.33333333333333,65.71428571428571,90.45384615384616,0.14871428571428572,0.14285714285714285
ATH,Slow Curve,CS,3,0.12931034482758622,67.76666666666667,2429.6666666666665,1.2866666666666668,-0.25,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0
ATH,Unknown,UNK,2,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697977,0.0
ATL,4-Seam Fastball,FF,828,37.263726372637265,95.51547762998791,2441.414752116082,-0.4306280193236715,1.3178743961352657,16.237113402061855,23.18840579710145,49.033816425120776,26.066350710900476,68.4729064039409,83.04402730375428,0.28658646111111113,0.17901234567901234
ATL,Slider,SL,312,14.041404140414041,87.8650641025641,2557.8429487179487,0.10407051282051281,0.10073717948717949,35.08771929824561,33.97435897435898,42.628205128205124,44.6927374301676,68.42105263157895,82.59479166666667,0.25722620454545453,0.27058823529411763
ATL,Cutter,FC,305,13.726372637263726,91.43475409836066,2453.455737704918,0.10452459016393442,0.7220327868852459,24.375,21.639344262295083,40.98360655737705,33.33333333333333,80.0,82.97207207207207,0.3529718125,0.2222222222222222
