player_id,full_name,team,team_abbr,position,position_type,bats,throws,jersey_number,status
665966,Carlos Narváez,Baltimore Orioles,BAL,C,C,R,R,75,active
694212,Samuel Basallo,Baltimore Orioles,BAL,C,C,L,R,29,active
650968,Yohel Pozo,Baltimore Orioles,BAL,C,C,R,R,79,active
681047,Christian Franklin,Baltimore Orioles,BAL,CF,OF,R,R,27,active
681297,Colton Cowser,Baltimore Orioles,BAL,CF,OF,L,R,17,active
687637,Dylan Beavers,Baltimore Orioles,BAL,RF,OF,L,R,12,active
665750,Leody Taveras,Baltimore Orioles,BAL,CF,OF,S,R,30,active
695380,Alex Hoppe,Baltimore Orioles,BAL,P,RP,R,R,26,active
552640,Andrew Kittredge,Baltimore Orioles,BAL,P,RP,R,R,39,active
689296,Anthony Nunez,Baltimore Orioles,BAL,P,RP,S,R,66,active
687064,Brandon Young,Baltimore Orioles,BAL,P,RP,R,R,63,active
676742,Cam Sanders,Baltimore Orioles,BAL,P,RP,R,R,73,active
605135,Chris Bassitt,Baltimore Orioles,BAL,P,RP,R,R,40,active
664991,Grant Wolfram,Baltimore Orioles,BAL,P,RP,L,L,48,active
677020,Josh Walker,Baltimore Orioles,BAL,P,RP,L,L,61,active
680694,Kyle Bradish,Baltimore Orioles,BAL,P,RP,R,R,38,active
670329,Rico Garcia,Baltimore Orioles,BAL,P,RP,R,R,50,active
669358,Shane Baz,Baltimore Orioles,BAL,P,RP,R,R,34,active
669432,Trevor Rogers,Baltimore Orioles,BAL,P,RP,L,L,28,active
666974,Yennier Cano,Baltimore Orioles,BAL,P,RP,R,R,78,active
683002,Gunnar Henderson,Baltimore Orioles,BAL,SS,SS,L,R,2,active
575929,Willson Contreras,Boston Red Sox,BOS,1B,1B,R,R,40,active
686765,Nick Sogard,Boston Red Sox,BOS,2B,2B,S,R,20,active
702332,Caleb Durbin,Boston Red Sox,BOS,3B,3B,R,R,5,active
668939,Adley Rutschman,Boston Red Sox,BOS,C,C,S,R,31,active
657136,Connor Wong,Boston Red Sox,BOS,C,C,R,R,12,active
663330,Jahmai Jones,Boston Red Sox,BOS,DH,DH,R,R,37,active
678882,Ceddanne Rafaela,Boston Red Sox,BOS,CF,OF,R,R,3,active
642201,Eli White,Boston Red Sox,BOS,RF,OF,R,R,38,active
680776,Jarren Duran,Boston Red Sox,BOS,LF,OF,L,R,16,active
701350,Roman Anthony,Boston Red Sox,BOS,LF,OF,L,R,19,active
677800,Wilyer Abreu,Boston Red Sox,BOS,RF,OF,L,L,52,active
687941,Alec Gamboa,Boston Red Sox,BOS,P,RP,S,L,68,active
547973,Aroldis Chapman,Boston Red Sox,BOS,P,RP,L,L,44,active
678394,Brayan Bello,Boston Red Sox,BOS,P,RP,R,R,66,active
669062,Erik Miller,Boston Red Sox,BOS,P,RP,L,L,67,active
676477,Garrett Whitlock,Boston Red Sox,BOS,P,RP,R,R,22,active
669711,Greg Weissert,Boston Red Sox,BOS,P,RP,R,R,57,active
687562,Jake Bennett,Boston Red Sox,BOS,P,RP,L,L,64,active
663558,Jovani Morán,Boston Red Sox,BOS,P,RP,L,L,47,active
663776,Patrick Sandoval,Boston Red Sox,BOS,P,RP,L,L,43,active
801139,Payton Tolle,Boston Red Sox,BOS,P,RP,L,L,70,active
624133,Ranger Suarez,Boston Red Sox,BOS,P,RP,L,L,55,active
543243,Sonny Gray,Boston Red Sox,BOS,P,RP,R,R,54,active
594027,Tyron Guerrero,Boston Red Sox,BOS,P,RP,R,R,41,active
655316,Andruw Monasterio,Boston Red Sox,BOS,SS,SS,R,R,32,active
596115,Trevor Story,Boston Red Sox,BOS,SS,SS,R,R,10,active
683737,Michael Busch,Chicago Cubs,CHC,1B,1B,L,R,29,active
663538,Nico Hoerner,Chicago Cubs,CHC,2B,2B,R,R,2,active
699393,Pedro Ramírez,Chicago Cubs,CHC,2B,2B,S,R,75,active
608324,Alex Bregman,Chicago Cubs,CHC,3B,3B,R,R,3,active
672356,Gabriel Arias,Chicago Cubs,CHC,3B,3B,R,R,43,active
608348,Carson Kelly,Chicago Cubs,CHC,C,C,R,R,15,active
665804,Miguel Amaya,Chicago Cubs,CHC,C,C,R,R,9,active
624424,Michael Conforto,Chicago Cubs,CHC,DH,DH,L,R,20,active
664023,Ian Happ,Chicago Cubs,CHC,LF,OF,S,R,8,active
807713,Matt Shaw,Chicago Cubs,CHC,RF,OF,R,R,6,active
691718,Pete Crow-Armstrong,Chicago Cubs,CHC,CF,OF,L,L,4,active
673548,Seiya Suzuki,Chicago Cubs,CHC,RF,OF,R,R,27,active
621438,Tyrone Taylor,Chicago Cubs,CHC,LF,OF,R,R,55,active
650644,Aaron Civale,Chicago Cubs,CHC,P,RP,R,R,38,active
